tid,lock_impl_time(ms)
RUN 0
001,    71.447
-----------------------------------------------------------------------------------------------

RUN 1
001,    70.795
-----------------------------------------------------------------------------------------------

RUN 2
001,    76.143
-----------------------------------------------------------------------------------------------

RUN 3
001,    87.354
-----------------------------------------------------------------------------------------------

RUN 4
001,   104.320
-----------------------------------------------------------------------------------------------

