tid,lock_impl_time(ms)
RUN 0
001,    58.014
-----------------------------------------------------------------------------------------------

RUN 1
001,    59.248
-----------------------------------------------------------------------------------------------

RUN 2
001,    59.277
-----------------------------------------------------------------------------------------------

RUN 3
001,    58.168
-----------------------------------------------------------------------------------------------

RUN 4
001,    59.931
-----------------------------------------------------------------------------------------------

