tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
015,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003320,    0.000000,    0.256317,    0.000000,    0.000000,         0,         1048576,000,001,000001
000,    524288,       1,    0.196705,   20.000000,    0.250960,    0.249457,    0.000554,    0.005422,    0.250248,    0.503864,    0.238185,    0.239046,         1,         1048576,000,002,000001
001, 786694144,    3000,  823.598938,   20.000000,18251.398438,  766.277283,17488.832031,    6.881008,  762.177185,  759.112732,  729.286011,  726.829590,      3000,         1048576,000,002,000001
002, 891551744,    3400,  936.324707,   20.000000, 8752.256836,  866.121338, 7890.764648,    7.802560,  861.068970,  857.972717,  824.614197,  822.257568,      3400,         1048576,000,002,000001
003,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003250,    0.000000,    0.252307,    0.000000,    0.000000,         0,         1048576,000,002,000001
004,1650196480,    6294, 1734.991699,   20.000000,16652.269531, 1606.997925,15054.143555,   14.429209, 1597.361816, 1591.599976, 1528.779785, 1524.531372,      6294,         1048576,000,002,000001
005,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003267,    0.000000,    0.253487,    0.000000,    0.000000,         0,         1048576,000,002,000001
006,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002983,    0.000000,    0.254673,    0.000000,    0.000000,         0,         1048576,000,002,000001
007,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003313,    0.000000,    0.253163,    0.000000,    0.000000,         0,         1048576,000,002,000001
008,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003007,    0.000000,    0.257790,    0.000000,    0.000000,         0,         1048576,000,002,000001
009,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.006033,    0.000000,    0.256750,    0.000000,    0.000000,         0,         1048576,000,002,000001
010,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002913,    0.000000,    0.257610,    0.000000,    0.000000,         0,         1048576,000,002,000001
011,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003083,    0.000000,    0.256553,    0.000000,    0.000000,         0,         1048576,000,002,000001
012,1625554944,    6200, 1789.489380,   20.000000,16370.063477, 1601.207886,14778.918945,   14.451955, 1590.247192, 1585.903809, 1514.693481, 1511.491943,      6200,         1048576,000,002,000001
013,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003003,    0.000000,    0.258737,    0.000000,    0.000000,         0,         1048576,000,002,000001
