lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0008536,0000180,0000040,0001005,0005100,0006603,0014227,001024,001,000,0256
0015449,0001025,0000331,0001013,0008917,0012454,0023164,001024,001,000,0256
0008546,0000180,0000040,0001005,0005100,0006612,0014237,001024,001,001,0256
0015590,0001025,0000330,0001013,0009057,0012603,0023244,001024,001,001,0256
0008556,0000180,0000040,0001006,0005120,0006643,0014287,001024,001,002,0256
0015409,0001026,0000341,0001015,0009789,0012072,0023294,001024,001,002,0256
