tid,lock_impl_time(ms)
RUN 0
001,    85.569
-----------------------------------------------------------------------------------------------

RUN 1
001,    91.452
-----------------------------------------------------------------------------------------------

RUN 2
001,    91.829
-----------------------------------------------------------------------------------------------

RUN 3
001,    91.924
-----------------------------------------------------------------------------------------------

RUN 4
001,    91.687
-----------------------------------------------------------------------------------------------

