tid,lock_impl_time(ms)
RUN 0
001,    54.561
-----------------------------------------------------------------------------------------------

RUN 1
001,    54.013
-----------------------------------------------------------------------------------------------

RUN 2
001,    53.574
-----------------------------------------------------------------------------------------------

RUN 3
001,    53.452
-----------------------------------------------------------------------------------------------

RUN 4
001,    54.069
-----------------------------------------------------------------------------------------------

