tid,lock_impl_time(ms)
RUN 0
001,   119.336
-----------------------------------------------------------------------------------------------

RUN 1
001,   109.009
-----------------------------------------------------------------------------------------------

RUN 2
001,   136.115
-----------------------------------------------------------------------------------------------

RUN 3
001,    88.189
-----------------------------------------------------------------------------------------------

RUN 4
001,    74.433
-----------------------------------------------------------------------------------------------

