tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate
006,00000000,00210729,00002230,010,00139013,00001930,00000000,001024,002,000,00001024,00106069,01,0000021828330087,00000000,00000000,004,002,016,016,1
007,00000000,00210779,00001122,010,00137907,00001906,00000000,001024,002,000,00001024,00105618,01,0000021739665684,00000000,00000000,004,002,016,016,1
008,00000000,00211058,00001064,010,00137827,00001994,00000000,001024,002,000,00001024,00105623,01,0000021711471786,00000000,00000000,004,002,016,016,1
009,00000000,00210560,00001093,010,00138291,00002044,00000000,001024,002,000,00001024,00105829,01,0000022322704248,00000000,00000000,004,002,016,016,1
010,00000000,00210549,00001622,010,00137541,00001943,00000000,001024,002,000,00001024,00105465,01,0000021846234966,00000000,00000000,004,002,016,016,1
011,00000000,00210607,00003425,010,00138798,00001994,00000000,001024,002,000,00001024,00105993,01,0000021615413698,00000000,00000000,004,002,016,016,1
012,00000000,00210949,00001551,010,00137013,00001974,00000000,001024,002,000,00001024,00105684,01,0000021314367680,00000000,00000000,004,002,016,016,1
013,00000000,00210679,00001167,010,00137906,00001962,00000000,001024,002,000,00001024,00106376,01,0000021577828989,00000000,00000000,004,002,016,016,1
014,00000000,00210764,00002355,010,00137814,00001930,00000000,001024,002,000,00001024,00105475,01,0000021061463421,00000000,00000000,004,002,016,016,1
015,00000000,00211395,00001015,010,00136741,00001954,00000000,001024,002,000,00001024,00105857,01,0000021274404174,00000000,00000000,004,002,016,016,1
000,00000000,00121998,00000959,010,00074679,00001171,00000000,001024,003,000,00001024,00060967,01,0000021897127067,00000000,00000000,004,002,016,016,1
001,00000000,00122148,00000737,010,00074962,00001081,00000000,001024,003,000,00001024,00061285,01,0000022123196395,00000000,00000000,004,002,016,016,1
002,00000000,00122179,00000672,010,00074646,00001093,00000000,001024,003,000,00001024,00061202,01,0000021738801982,00000000,00000000,004,002,016,016,1
003,00000000,00121951,00000690,010,00075016,00001137,00000000,001024,003,000,00001024,00061450,01,0000022262562209,00000000,00000000,004,002,016,016,1
004,00000000,00121866,00002721,010,00076300,00001118,00000000,001024,003,000,00001024,00061491,01,0000022275392512,00000000,00000000,004,002,016,016,1
005,00000000,00121995,00002066,010,00074972,00001081,00000000,001024,003,000,00001024,00061546,01,0000021744480019,00000000,00000000,004,002,016,016,1
006,00000000,00122001,00001273,010,00075988,00001047,00000000,001024,003,000,00001024,00061504,01,0000021734712935,00000000,00000000,004,002,016,016,1
007,00000000,00121941,00000666,010,00075862,00001095,00000000,001024,003,000,00001024,00061314,01,0000021753730661,00000000,00000000,004,002,016,016,1
008,00000000,00122021,00000609,010,00074874,00001130,00000000,001024,003,000,00001024,00061540,01,0000021656782960,00000000,00000000,004,002,016,016,1
009,00000000,00122018,00000645,010,00075282,00001145,00000000,001024,003,000,00001024,00061090,01,0000022245769776,00000000,00000000,004,002,016,016,1
010,00000000,00122008,00000911,010,00074984,00001074,00000000,001024,003,000,00001024,00061198,01,0000022236885471,00000000,00000000,004,002,016,016,1
011,00000000,00121583,00001919,010,00075750,00001071,00000000,001024,003,000,00001024,00061336,01,0000021533260014,00000000,00000000,004,002,016,016,1
012,00000000,00122083,00000914,010,00075479,00001055,00000000,001024,003,000,00001024,00061183,01,0000021219784686,00000000,00000000,004,002,016,016,1
013,00000000,00122094,00000682,010,00075273,00001067,00000000,001024,003,000,00001024,00061181,01,0000021454275745,00000000,00000000,004,002,016,016,1
014,00000000,00122137,00001424,010,00075419,00001100,00000000,001024,003,000,00001024,00061362,01,0000021025599905,00000000,00000000,004,002,016,016,1
015,00000000,00122131,00000606,010,00075491,00001075,00000000,001024,003,000,00001024,00061383,01,0000021195677734,00000000,00000000,004,002,016,016,1
000,00000000,00598915,00004035,010,00353810,00015276,00000000,001024,000,001,00001024,00301047,01,0000019720735011,00000000,00000000,004,002,016,016,1
001,00000000,00600518,00004154,010,00354200,00015283,00000000,001024,000,001,00001024,00302015,01,0000019977610336,00000000,00000000,004,002,016,016,1
002,00000000,00599734,00003233,010,00352482,00015401,00000000,001024,000,001,00001024,00301562,01,0000019337931658,00000000,00000000,004,002,016,016,1
003,00000000,00599027,00002955,010,00355721,00015230,00000000,001024,000,001,00001024,00300934,01,0000019941575899,00000000,00000000,004,002,016,016,1
004,00000000,00597796,00013288,010,00353939,00015451,00000000,001024,000,001,00001024,00300734,01,0000019896295668,00000000,00000000,004,002,016,016,1
005,00000000,00598516,00003199,010,00354107,00015322,00000000,001024,000,001,00001024,00301699,01,0000019541552058,00000000,00000000,004,002,016,016,1
