tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,      9320,    9320,    1.390798
001,       971,     971,    0.190786
002,      7157,    7157,    1.481394
003,      3555,    3555,    0.536207
004,     32956,   32956,    6.848577
005,     29627,   29627,    4.757700
006,      5711,    5711,    1.580177
007,      4276,    4276,    0.573207
008,     16142,   16142,    2.713232
009,      7157,    7157,    1.291397
010,     14873,   14873,    1.807905
011,       974,     974,    0.123026
012,     14294,   14294,    1.776678
013,      9750,    9750,    1.245310
014,      7157,    7157,    1.125013
015,      4814,    4814,    0.913350
016,      4121,    4121,    0.829898
017,      8377,    8377,    1.457179
018,     13595,   13595,    1.725786
019,     32955,   32955,    6.304702
020,      9386,    9386,    1.065609
021,      2272,    2272,    0.443193
022,      7157,    7157,    1.652352
023,      4812,    4812,    0.594788
024,      7157,    7157,    1.102991
025,      5630,    5630,    1.295072
026,     32751,   32751,    7.938133
027,      7157,    7157,    1.450827
028,     16142,   16142,    1.844181
-------------------------------------------------------------------------------------------------------

RUN 1
000,       112,     112,    0.020167
001,       112,     112,    0.019529
002,       765,     765,    0.103560
003,      3370,    3370,    0.401147
004,       112,     112,    0.022717
005,       112,     112,    0.018780
006,      1996,    1996,    0.371144
007,       112,     112,    0.036103
008,       114,     114,    0.013413
009,     72102,   72102,   10.150242
010,       112,     112,    0.014615
011,       445,     445,    0.063117
012,       112,     112,    0.015657
013,       113,     113,    0.017863
014,       113,     113,    0.022432
015,      1352,    1352,    0.174532
016,       113,     113,    0.012583
017,     84981,   84981,   16.298042
018,     84980,   84980,   14.212423
019,      4400,    4400,    0.928280
020,       112,     112,    0.021429
021,       112,     112,    0.020617
022,      4402,    4402,    0.523597
023,       112,     112,    0.014526
024,     84981,   84981,   12.647885
025,      1524,    1524,    0.225922
026,       113,     113,    0.012395
027,      1188,    1188,    0.153949
028,     14149,   14149,    2.562618
-------------------------------------------------------------------------------------------------------

RUN 2
000,     17905,   17905,    3.855948
001,      4058,    4058,    0.616829
002,     15115,   15115,    3.533697
003,       232,     232,    0.041267
004,      2860,    2860,    0.344195
005,      2186,    2186,    0.410711
006,       777,     777,    0.122078
007,     13163,   13163,    2.652929
008,       912,     912,    0.122054
009,      1126,    1126,    0.144559
010,      2495,    2495,    0.349761
011,       555,     555,    0.087545
012,     32615,   32615,    4.284582
013,       296,     296,    0.050577
014,     24791,   24791,    3.625062
015,     32615,   32615,    7.130987
016,       813,     813,    0.163743
017,     32616,   32616,    6.327727
018,     32616,   32616,    3.982589
019,     17784,   17784,    3.230906
020,       880,     880,    0.138710
021,      2407,    2407,    0.375077
022,     15783,   15783,    4.906823
023,     11945,   11945,    1.460575
024,     32616,   32616,    9.268124
025,      9528,    9528,    1.227975
026,      3479,    3479,    0.960228
027,      2473,    2473,    0.388271
028,     19764,   19764,    2.229097
-------------------------------------------------------------------------------------------------------

RUN 3
000,     61507,   61507,    9.425963
001,      2473,    2473,    0.356889
002,       407,     407,    0.045749
003,       407,     407,    0.066344
004,      7728,    7728,    1.815233
005,       407,     407,    0.069482
006,       407,     407,    0.061018
007,       407,     407,    0.068950
008,       407,     407,    0.045061
009,      3569,    3569,    0.765654
010,     16228,   16228,    2.055031
011,       407,     407,    0.067415
012,     31310,   31310,    5.108525
013,      2521,    2521,    0.518198
014,       407,     407,    0.080242
015,     61506,   61506,   10.747085
016,       407,     407,    0.110010
017,         5,       5,    0.000768
018,     61507,   61507,   14.081845
019,     61507,   61507,   11.576854
020,     15162,   15162,    2.972631
021,       407,     407,    0.047875
022,      6221,    6221,    0.798238
023,       398,     398,    0.057425
024,      3102,    3102,    0.617768
025,      6049,    6049,    1.057077
026,       407,     407,    0.085795
027,      1463,    1463,    0.161463
028,      5379,    5379,    1.463469
-------------------------------------------------------------------------------------------------------

RUN 4
000,     32482,   32482,    7.367032
001,       799,     799,    0.136460
002,      5718,    5718,    1.378772
003,      5355,    5355,    1.128204
004,      6691,    6691,    1.276468
005,      2961,    2961,    0.529640
006,      8748,    8748,    1.755807
007,      9576,    9576,    2.221270
008,      8471,    8471,    2.122084
009,     24051,   24051,    4.178690
010,     12851,   12851,    2.279576
011,      5444,    5444,    1.493295
012,      9579,    9579,    1.106720
013,      2461,    2461,    0.429192
014,     21143,   21143,    4.207114
015,     32485,   32485,    3.916190
016,     12852,   12852,    2.048342
017,      4475,    4475,    0.818998
018,     26039,   26039,    3.654620
019,     32485,   32485,    8.362768
020,      1388,    1388,    0.327080
021,      1260,    1260,    0.236004
022,      9250,    9250,    1.003929
023,      1710,    1710,    0.316312
024,     12852,   12852,    1.477341
025,      2789,    2789,    0.607418
026,      2173,    2173,    0.465266
027,      8309,    8309,    1.283882
028,     32483,   32483,    3.610096
-------------------------------------------------------------------------------------------------------

