tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.001728,  0.000395
001,  0.000163,  0.000142
001,  0.000115,  0.000130
001,  0.000107,  0.000128
001,  0.000110,  0.000108
001,  0.000108,  0.000125
001,  0.000097,  0.000118
001,  0.000110,  0.000122
001,  0.000105,  0.000120
001,  0.000125,  0.000120
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.000292,  0.000190
001,  0.000145,  0.000107
001,  0.000118,  0.000098
001,  0.000120,  0.000097
001,  0.000130,  0.000100
001,  0.000117,  0.000108
001,  0.000117,  0.000098
001,  0.000122,  0.000098
001,  0.000127,  0.000098
001,  0.000118,  0.000100
-----------------------------------------------------------------------------------------------

