lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0021591,0000150,0000031,0001010,0030347,0020899,0030307,0000000,001024,000,000,16384
0250402,0001250,0000311,0001247,0050936,0043472,0050806,0000000,001024,000,000,16384
0021551,0000150,0000031,0001010,0030287,0020850,0030247,0000000,001024,001,000,16384
0250561,0001250,0000311,0001247,0050856,0043582,0050726,0000000,001024,001,000,16384
0021160,0000150,0000031,0001010,0028614,0020459,0028574,0000000,001024,002,000,16384
0249710,0001249,0000311,0001246,0050685,0043441,0050555,0000000,001024,002,000,16384
0021130,0000150,0000031,0001010,0030577,0020448,0030528,0000000,001024,000,001,16384
0240393,0001240,0000311,0001239,0050906,0043111,0050776,0000000,001024,000,001,16384
0020618,0000150,0000031,0001009,0028324,0019917,0028283,0000000,001024,001,001,16384
0239270,0001238,0000300,0001239,0050334,0043121,0050195,0000000,001024,001,001,16384
0020609,0000150,0000031,0001009,0028213,0019917,0028173,0000000,001024,002,001,16384
0239239,0001238,0000311,0001240,0050484,0043151,0050355,0000000,001024,002,001,16384
0021160,0000150,0000031,0001010,0028594,0020459,0028554,0000000,001024,000,002,16384
0247747,0001247,0000301,0001247,0050615,0043391,0050485,0000000,001024,000,002,16384
0021621,0000150,0000031,0001010,0030367,0020920,0030327,0000000,001024,001,002,16384
0249299,0001248,0000311,0001246,0050986,0043492,0050856,0000000,001024,001,002,16384
0021621,0000151,0000031,0001010,0030387,0020929,0030347,0000000,001024,002,002,16384
0247375,0001247,0000320,0001247,0051006,0043402,0050886,0000000,001024,002,002,16384
