tid,lock_impl_time(ms)
RUN 0
001,    76.726
-----------------------------------------------------------------------------------------------

RUN 1
001,    76.703
-----------------------------------------------------------------------------------------------

RUN 2
001,    76.840
-----------------------------------------------------------------------------------------------

RUN 3
001,    73.248
-----------------------------------------------------------------------------------------------

RUN 4
001,    73.245
-----------------------------------------------------------------------------------------------

