lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0004128,0000321,0000050,0001003,0002865,0003346,0003306,0000000,001024,000,000,0512
0006853,0002797,0000381,0001532,0004278,0005180,0005010,0000000,001024,000,000,0512
0006682,0000341,0000050,0001005,0005390,0006281,0005831,0000000,001024,001,000,0512
0012564,0004740,0000411,0001985,0009868,0011442,0010350,0000000,001024,001,000,0512
0006142,0000361,0000060,0001005,0005039,0005690,0005380,0000000,001024,002,000,0512
0008666,0004612,0000381,0001949,0006623,0007725,0007053,0000000,001024,002,000,0512
0006623,0000351,0000050,0001005,0005240,0005781,0005781,0000000,001024,003,000,0512
0010480,0004651,0000410,0001981,0007404,0008697,0008156,0000000,001024,003,000,0512
0004128,0000321,0000050,0001003,0002865,0003347,0003306,0000000,001024,000,001,0512
0007104,0002829,0000380,0001548,0004238,0005250,0005149,0000000,001024,000,001,0512
0006693,0000351,0000050,0001005,0005400,0006292,0005851,0000000,001024,001,001,0512
0012293,0004688,0000381,0001967,0009679,0011261,0010510,0000000,001024,001,001,0512
0006132,0000361,0000061,0001005,0005019,0005681,0005360,0000000,001024,002,001,0512
0008386,0004527,0000390,0001934,0006653,0007454,0006974,0000000,001024,002,001,0512
0006632,0000351,0000050,0001005,0005240,0005801,0005791,0000000,001024,003,001,0512
0010430,0004805,0000381,0001999,0007404,0008667,0008065,0000000,001024,003,001,0512
0004158,0000340,0000050,0001003,0002876,0003377,0003326,0000000,001024,000,002,0512
0007063,0002854,0000371,0001469,0004208,0005170,0005120,0000000,001024,000,002,0512
0006702,0000341,0000050,0001005,0005390,0006292,0005831,0000000,001024,001,002,0512
0012574,0004926,0000391,0002005,0009848,0011512,0010159,0000000,001024,001,002,0512
0006151,0000361,0000060,0001005,0005020,0005691,0005370,0000000,001024,002,002,0512
0008686,0004640,0000381,0001951,0006622,0007655,0006963,0000000,001024,002,002,0512
0006642,0000350,0000050,0001005,0005240,0005801,0005781,0000000,001024,003,002,0512
0010360,0004853,0000391,0002041,0007555,0008476,0008205,0000000,001024,003,002,0512
