tid,lock_impl_time(ms)
RUN 0
001,   100.619
-----------------------------------------------------------------------------------------------

RUN 1
001,   100.860
-----------------------------------------------------------------------------------------------

RUN 2
001,    99.992
-----------------------------------------------------------------------------------------------

RUN 3
001,   108.022
-----------------------------------------------------------------------------------------------

RUN 4
001,   104.864
-----------------------------------------------------------------------------------------------

