tid,lock_impl_time(ms)
RUN 0
001,    57.437
-----------------------------------------------------------------------------------------------

RUN 1
001,    53.785
-----------------------------------------------------------------------------------------------

RUN 2
001,    57.304
-----------------------------------------------------------------------------------------------

RUN 3
001,    53.166
-----------------------------------------------------------------------------------------------

RUN 4
001,    51.453
-----------------------------------------------------------------------------------------------

