tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio,colocated_access,non_colocated_access
000,00000000,00392634,00003825,010,00308667,00000000,00000000,001024,000,000,00001024,00198372,01,0000007671272446,00000000,00000000,004,004,016,016,1,0.99,050,225330,377020
001,00000000,00396865,00002945,010,00313307,00000000,00000000,001024,000,000,00001024,00199520,01,0000007951491586,00000000,00000000,004,004,016,016,1,0.99,050,227184,379983
002,00000000,00398654,00002850,010,00315008,00000000,00000000,001024,000,000,00001024,00201094,01,0000007901645212,00000000,00000000,004,004,016,016,1,0.99,050,228223,382620
003,00000000,00400132,00002476,010,00315570,00000000,00000000,001024,000,000,00001024,00202117,01,0000007901602454,00000000,00000000,004,004,016,016,1,0.99,050,229022,384113
004,00000000,00397885,00009601,010,00315154,00000000,00000000,001024,000,000,00001024,00200652,01,0000007925338609,00000000,00000000,004,004,016,016,1,0.99,050,228547,381205
005,00000000,00399516,00003715,010,00315646,00000000,00000000,001024,000,000,00001024,00201323,01,0000007706248434,00000000,00000000,004,004,016,016,1,0.99,050,228462,383657
006,00000000,00392456,00003917,010,00315264,00000000,00000000,001024,000,000,00001024,00197688,01,0000007796537851,00000000,00000000,004,004,016,016,1,0.99,050,224268,376773
007,00000000,00397697,00008754,010,00312972,00000000,00000000,001024,000,000,00001024,00200338,01,0000007915694638,00000000,00000000,004,004,016,016,1,0.99,050,227281,382033
008,00000000,00394757,00003859,010,00316082,00000000,00000000,001024,000,000,00001024,00199416,01,0000007908423446,00000000,00000000,004,004,016,016,1,0.99,050,226949,378194
009,00000000,00395902,00002945,010,00316910,00000000,00000000,001024,000,000,00001024,00199357,01,0000007831629480,00000000,00000000,004,004,016,016,1,0.99,050,227187,379261
010,00000000,00398973,00003683,010,00314432,00000000,00000000,001024,000,000,00001024,00200665,01,0000007850622288,00000000,00000000,004,004,016,016,1,0.99,050,229083,381630
011,00000000,00399081,00007089,010,00317233,00000000,00000000,001024,000,000,00001024,00201425,01,0000007501404583,00000000,00000000,004,004,016,016,1,0.99,050,228862,383057
012,00000000,00397922,00003765,010,00319320,00000000,00000000,001024,000,000,00001024,00200915,01,0000007837447754,00000000,00000000,004,004,016,016,1,0.99,050,229421,380693
013,00000000,00396790,00022767,010,00317813,00000000,00000000,001024,000,000,00001024,00200446,01,0000007599155259,00000000,00000000,004,004,016,016,1,0.99,050,227536,380801
014,00000000,00395513,00004178,010,00318804,00000000,00000000,001024,000,000,00001024,00199631,01,0000007954329104,00000000,00000000,004,004,016,016,1,0.99,050,226500,379641
015,00000000,00390907,00003318,010,00308398,00000000,00000000,001024,000,000,00001024,00196420,01,0000002509555554,00000000,00000000,004,004,016,016,1,0.99,050,224163,373727
000,00000000,00658953,00006406,010,00525979,00000000,00000000,001024,001,000,00001024,00331335,01,0000012815224910,00000000,00000000,004,004,016,016,1,0.99,050,302738,701932
001,00000000,00661812,00004777,010,00526283,00000000,00000000,001024,001,000,00001024,00333294,01,0000012601960789,00000000,00000000,004,004,016,016,1,0.99,050,301596,707285
002,00000000,00661893,00004667,010,00527449,00000000,00000000,001024,001,000,00001024,00332779,01,0000012714221332,00000000,00000000,004,004,016,016,1,0.99,050,302001,706461
003,00000000,00661862,00004304,010,00527642,00000000,00000000,001024,001,000,00001024,00333372,01,0000012754582034,00000000,00000000,004,004,016,016,1,0.99,050,302552,706986
004,00000000,00663864,00015884,010,00528826,00000000,00000000,001024,001,000,00001024,00333578,01,0000012759267399,00000000,00000000,004,004,016,016,1,0.99,050,304061,707609
005,00000000,00659160,00006073,010,00529658,00000000,00000000,001024,001,000,00001024,00332469,01,0000012770250033,00000000,00000000,004,004,016,016,1,0.99,050,302546,703162
006,00000000,00662159,00006383,010,00528434,00000000,00000000,001024,001,000,00001024,00331894,01,0000012735200580,00000000,00000000,004,004,016,016,1,0.99,050,303036,704828
007,00000000,00660161,00014787,010,00527645,00000000,00000000,001024,001,000,00001024,00332023,01,0000012722667934,00000000,00000000,004,004,016,016,1,0.99,050,302542,703184
008,00000000,00635945,00006417,010,00506472,00000000,00000000,001024,001,000,00001024,00320459,01,0000003869901175,00000000,00000000,004,004,016,016,1,0.99,050,291424,677965
009,00000000,00661855,00004942,010,00525029,00000000,00000000,001024,001,000,00001024,00333892,01,0000012766816526,00000000,00000000,004,004,016,016,1,0.99,050,302821,706955
010,00000000,00657221,00006235,010,00526749,00000000,00000000,001024,001,000,00001024,00331534,01,0000012877992863,00000000,00000000,004,004,016,016,1,0.99,050,301483,701276
011,00000000,00660322,00011643,010,00524808,00000000,00000000,001024,001,000,00001024,00333088,01,0000012735126779,00000000,00000000,004,004,016,016,1,0.99,050,302615,704793
012,00000000,00659757,00006470,010,00524861,00000000,00000000,001024,001,000,00001024,00331929,01,0000012746201469,00000000,00000000,004,004,016,016,1,0.99,050,301950,703922
013,00000000,00657930,00037818,010,00527441,00000000,00000000,001024,001,000,00001024,00331603,01,0000012734368221,00000000,00000000,004,004,016,016,1,0.99,050,302133,701650
