tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,    213221,  213221,   13.361524
-------------------------------------------------------------------------------------------------------

RUN 1
000,    208986,  208986,   14.348512
-------------------------------------------------------------------------------------------------------

RUN 2
000,    212195,  212195,   14.317333
-------------------------------------------------------------------------------------------------------

RUN 3
000,    215977,  215977,   14.304270
-------------------------------------------------------------------------------------------------------

RUN 4
000,    211812,  211812,   14.261621
-------------------------------------------------------------------------------------------------------

