tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),array_size(B)
RUN 0
005,        16,       1,    0.064640,    0.001583,    0.278224,    0.064424,             256
005,        32,       1,    0.054025,    0.001182,    0.894113,    0.053834,             512
005,        64,       1,    0.043613,    0.001072,    0.464033,    0.043295,            1024
005,       128,       1,    0.055238,    0.001037,    0.237037,    0.054633,            2048
005,       256,       1,    0.042022,    0.001126,    0.485648,    0.040842,            4096
005,       512,       1,    0.044708,    0.001138,    0.203822,    0.042377,            8192
005,      1024,       1,    0.049442,    0.001241,    0.148865,    0.044798,           16384
005,      2048,       1,    0.052833,    0.001219,    0.070870,    0.043428,           32768
005,      4096,       1,    0.087620,    0.001547,    0.690825,    0.056833,           65536
005,      8192,       1,    0.102077,    0.002067,    0.336520,    0.045274,          131072
005,     16384,       1,    0.177207,    0.002968,    1.837227,    0.054160,          262144
005,     32768,       1,    0.303557,    0.005014,    0.370337,    0.057523,          524288
005,     65536,       1,    0.533578,    0.008846,    0.629750,    0.050037,         1048576
005,    131072,       1,    1.011902,    0.016670,    8.283419,    0.053673,         2097152
005,    262144,       1,    2.024022,    0.031207,   21.295170,    0.061760,         4194304
005,    524288,       1,    3.640953,    0.061577,   41.771648,    0.064402,         8388608
005,   1048576,       1,    7.964396,    0.121748,   68.993813,    0.077393,        16777216
006,        16,       1,    0.075810,    0.001393,    0.425323,    0.075567,             256
006,        32,       1,    0.068900,    0.001192,    0.202893,    0.068610,             512
006,        64,       1,    0.067707,    0.001088,    0.585730,    0.067173,            1024
006,       128,       1,    0.069777,    0.001051,    0.655617,    0.068763,            2048
006,       256,       1,    0.066857,    0.001137,    0.598620,    0.064887,            4096
006,       512,       1,    0.071553,    0.001147,    0.841560,    0.067663,            8192
006,      1024,       1,    0.087717,    0.001254,    0.695227,    0.079987,           16384
006,      2048,       1,    0.091388,    0.001218,    1.114627,    0.078177,           32768
006,      4096,       1,    0.090807,    0.001543,    1.061460,    0.064420,           65536
006,      8192,       1,    0.128457,    0.002072,    1.192517,    0.066913,          131072
006,     16384,       1,    0.164580,    0.002984,    0.268995,    0.059188,          262144
006,     32768,       1,    0.318763,    0.005020,    2.809369,    0.072873,          524288
006,     65536,       1,    0.566803,    0.008840,    5.531423,    0.074823,         1048576
006,    131072,       1,    1.054583,    0.016670,    2.150590,    0.070613,         2097152
006,    262144,       1,    2.043527,    0.031202,    7.609410,    0.076103,         4194304
006,    524288,       1,    4.035140,    0.061568,   15.004436,    0.084803,         8388608
006,   1048576,       1,    7.964986,    0.121757,    6.921705,    0.089003,        16777216
007,        16,       1,    0.065300,    0.001584,    1.045060,    0.065077,             256
007,        32,       1,    0.053711,    0.001192,    0.968704,    0.053440,             512
007,        64,       1,    0.046729,    0.001092,    0.368820,    0.046243,            1024
007,       128,       1,    0.047920,    0.001039,    0.353586,    0.046994,            2048
007,       256,       1,    0.048351,    0.001133,    0.311643,    0.046535,            4096
007,       512,       1,    0.050320,    0.001141,    0.451326,    0.046734,            8192
007,      1024,       1,    0.052434,    0.001253,    0.485972,    0.045300,           16384
007,      2048,       1,    0.066471,    0.001209,    0.541133,    0.052248,           32768
007,      4096,       1,    0.083840,    0.001559,    0.612254,    0.053067,           65536
007,      8192,       1,    0.104726,    0.002064,    0.678197,    0.047937,          131072
007,     16384,       1,    0.175623,    0.002981,    2.403258,    0.052667,          262144
007,     32768,       1,    0.300217,    0.005015,    2.180110,    0.054320,          524288
007,     65536,       1,    0.544970,    0.008855,    3.866080,    0.060306,         1048576
007,    131072,       1,    1.048110,    0.016656,   15.594930,    0.064713,         2097152
007,    262144,       1,    1.886927,    0.031207,   15.548503,    0.054940,         4194304
007,    524288,       1,    4.025480,    0.061580,   49.466789,    0.080563,         8388608
007,   1048576,       1,    7.548155,    0.121749,   99.351196,    0.061684,        16777216
008,        16,       1,    0.062423,    0.001585,    1.139337,    0.062183,             256
008,        32,       1,    0.058227,    0.001191,    0.769917,    0.057940,             512
008,        64,       1,    0.055010,    0.001092,    0.138863,    0.054477,            1024
008,       128,       1,    0.056620,    0.001040,    0.409067,    0.055610,            2048
008,       256,       1,    0.061747,    0.001132,    0.073387,    0.059777,            4096
008,       512,       1,    0.064547,    0.001147,    0.145513,    0.060653,            8192
008,      1024,       1,    0.063887,    0.001255,    0.203257,    0.056157,           16384
008,      2048,       1,    0.068003,    0.001217,    0.262433,    0.052573,           32768
008,      4096,       1,    0.083415,    0.001541,    0.424855,    0.055003,           65536
008,      8192,       1,    0.119357,    0.002068,    0.063530,    0.057857,          131072
008,     16384,       1,    0.171225,    0.002967,    2.037587,    0.057729,          262144
008,     32768,       1,    0.306678,    0.005011,    1.570733,    0.060815,          524288
008,     65536,       1,    0.558737,    0.008849,    0.066550,    0.060743,         1048576
008,    131072,       1,    1.051074,    0.016665,   11.422210,    0.066237,         2097152
008,    262144,       1,    1.839652,    0.031196,    2.103923,    0.061827,         4194304
008,    524288,       1,    4.031754,    0.061594,   45.425682,    0.087723,         8388608
008,   1048576,       1,    6.425355,    0.121766,   84.958244,    0.085957,        16777216
009,        16,       1,    0.067940,    0.001588,    1.226807,    0.067703,             256
009,        32,       1,    0.061388,    0.001179,    1.104139,    0.061123,             512
009,        64,       1,    0.054937,    0.001082,    0.414543,    0.054448,            1024
009,       128,       1,    0.053791,    0.001048,    0.126785,    0.052877,            2048
009,       256,       1,    0.052832,    0.001124,    0.360662,    0.051029,            4096
009,       512,       1,    0.055331,    0.001149,    0.269492,    0.051760,            8192
009,      1024,       1,    0.056397,    0.001254,    0.537174,    0.049274,           16384
009,      2048,       1,    0.063777,    0.001218,    0.333417,    0.049566,           32768
009,      4096,       1,    0.085102,    0.001557,    0.165603,    0.054316,           65536
009,      8192,       1,    0.108831,    0.002068,    0.453167,    0.052023,          131072
009,     16384,       1,    0.177913,    0.002963,    2.771730,    0.054877,          262144
009,     32768,       1,    0.281972,    0.005017,    0.973129,    0.054869,          524288
009,     65536,       1,    0.547883,    0.008843,    2.788293,    0.055126,         1048576
009,    131072,       1,    1.052213,    0.016663,   14.516978,    0.068253,         2097152
009,    262144,       1,    1.915233,    0.031205,   17.449680,    0.059469,         4194304
009,    524288,       1,    4.036953,    0.061564,   57.512939,    0.091863,         8388608
009,   1048576,       1,    7.967020,    0.121758,   61.028454,    0.081233,        16777216
010,        16,       1,    0.064173,    0.001575,    0.705540,    0.063720,             256
010,        32,       1,    0.057390,    0.001188,    0.140427,    0.057103,             512
010,        64,       1,    0.062320,    0.001087,    0.952410,    0.061797,            1024
010,       128,       1,    0.054210,    0.001046,    0.858537,    0.053203,            2048
010,       256,       1,    0.059020,    0.001131,    0.994973,    0.057050,            4096
010,       512,       1,    0.057880,    0.001148,    0.779207,    0.053977,            8192
010,      1024,       1,    0.061570,    0.001263,    0.782850,    0.053843,           16384
010,      2048,       1,    0.066151,    0.001222,    0.691910,    0.051923,           32768
010,      4096,       1,    0.086643,    0.001551,    1.357230,    0.055867,           65536
010,      8192,       1,    0.118951,    0.002073,    1.579929,    0.062157,          131072
010,     16384,       1,    0.199757,    0.002975,    0.068383,    0.070520,          262144
010,     32768,       1,    0.313533,    0.005013,    3.442090,    0.067520,          524288
010,     65536,       1,    0.547923,    0.008847,    4.966153,    0.055933,         1048576
010,    131072,       1,    1.002141,    0.016681,    5.274060,    0.054689,         2097152
010,    262144,       1,    1.939465,    0.031196,   29.242897,    0.073951,         4194304
010,    524288,       1,    3.702779,    0.061577,    3.793362,    0.059292,         8388608
010,   1048576,       1,    8.006247,    0.121757,   38.203335,    0.084413,        16777216
011,        16,       1,    0.062430,    0.001583,    1.319350,    0.062210,             256
011,        32,       1,    0.054950,    0.001191,    0.707337,    0.054677,             512
011,        64,       1,    0.055217,    0.001092,    0.079563,    0.054703,            1024
011,       128,       1,    0.060683,    0.001040,    0.294643,    0.059693,            2048
011,       256,       1,    0.053520,    0.001132,    0.139517,    0.051547,            4096
011,       512,       1,    0.063120,    0.001140,    0.387380,    0.059233,            8192
011,      1024,       1,    0.075350,    0.001265,    0.076557,    0.067617,           16384
011,      2048,       1,    0.077313,    0.001217,    0.467207,    0.050831,           32768
011,      4096,       1,    0.097017,    0.001548,    0.061460,    0.057337,           65536
011,      8192,       1,    0.144344,    0.002063,    0.798397,    0.076034,          131072
