tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_ac(ms),wait_rel(ms),array_size(B)
RUN 0
000,   1423669, 1423669,   51.011913,      30.000,56719.054688, 3168.101562,               0
001,   1176463, 1176463,   44.904438,      30.000,57170.054688, 2730.754395,               0
002,   1948648, 1948648,   70.033943,      30.000,55464.093750, 4380.702637,               0
003,   1194580, 1194580,   45.294453,      30.000,57221.660156, 2678.135986,               0
004,   1463568, 1463568,   53.623756,      30.000,56675.718750, 3205.297852,               0
005,   1382153, 1382153,   51.358219,      30.000,56839.343750, 3046.714844,               0
006,   1559050, 1559050,   56.881760,      30.000,56496.464844, 3377.694580,               0
007,   1105953, 1105953,   43.370338,      30.000,57381.648438, 2522.097900,               0
008,   1501620, 1501620,   55.265881,      30.000,56601.167969, 3276.459717,               0
009,   1294910, 1294910,   48.940964,      30.000,57000.816406, 2890.428467,               0
010,    902290,  902290,   34.593121,      30.000,57869.378906, 2053.774414,               0
011,   1362836, 1362836,   51.141865,      30.000,56863.351562, 3023.679688,               0
012,   1431334, 1431334,   52.461403,      30.000,56749.976562, 3133.659180,               0
013,   1277433, 1277433,   48.765560,      30.000,56998.160156, 2893.853516,               0
014,   1389917, 1389917,   51.540428,      30.000,56830.500000, 3055.767090,               0
015,    752669,  752669,   31.538177,      30.000,58103.117188, 1826.887451,               0
016,   1852910, 1852910,   65.412292,      30.000,55956.847656, 3898.568604,               0
017,   2020773, 2020773,   72.171234,      30.000,55565.781250, 4274.708496,               0
018,   1434831, 1434831,   55.292633,      30.000,56672.472656, 3204.903809,               0
019,   1444240, 1444240,   55.753441,      30.000,56638.695312, 3237.882812,               0
020,   1713750, 1713750,   61.776821,      30.000,56180.871094, 3681.892578,               0
021,   1878776, 1878776,   67.602554,      30.000,55843.593750, 4006.294922,               0
022,   1612654, 1612654,   59.976986,      30.000,56359.312500, 3507.806885,               0
023,   1591942, 1591942,   59.953339,      30.000,56382.515625, 3484.803711,               0
024,   1794954, 1794954,   67.167908,      30.000,55940.867188, 3910.152588,               0
025,   1703342, 1703342,   62.620461,      30.000,56204.566406, 3656.816650,               0
026,   1420461, 1420461,   54.893223,      30.000,56691.984375, 3186.678955,               0
027,   1451212, 1451212,   55.623581,      30.000,56652.683594, 3223.899658,               0
028,   1726821, 1726821,   64.401825,      30.000,56081.496094, 3776.079834,               0
029,   1649169, 1649169,   61.200512,      30.000,56235.753906, 3628.656982,               0
030,   1242553, 1242553,   47.289822,      30.000,57123.367188, 2771.972168,               0
031,   2144653, 2144653,   76.462051,      30.000,55306.445312, 4523.981445,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,   1515666, 1515666,   55.953094,      30.000,56460.835938, 3415.577881,               0
001,   1421051, 1421051,   54.020588,      30.000,56591.351562, 3288.563232,               0
002,   2045264, 2045264,   75.122185,      30.000,55164.847656, 4668.336426,               0
003,   1187993, 1187993,   47.898159,      30.000,57124.234375, 2769.535400,               0
004,   1350608, 1350608,   52.934177,      30.000,56800.777344, 3081.875732,               0
005,   1377736, 1377736,   53.860119,      30.000,56744.898438, 3135.970947,               0
006,   1584208, 1584208,   58.875214,      30.000,56389.203125, 3480.214844,               0
007,   1309191, 1309191,   51.565437,      30.000,56906.386719, 2979.260254,               0
008,   1530210, 1530210,   58.132320,      30.000,56457.632812, 3413.983154,               0
009,   1433853, 1433853,   54.926304,      30.000,56657.000000, 3221.146729,               0
010,    935522,  935522,   38.245930,      30.000,57707.246094, 2207.880127,               0
011,   1299169, 1299169,   51.812332,      30.000,56887.250000, 2997.756836,               0
012,   1422301, 1422301,   55.312092,      30.000,56656.082031, 3221.238525,               0
013,   1375552, 1375552,   53.034122,      30.000,56765.796875, 3116.448975,               0
014,   2029235, 2029235,   72.327766,      30.000,55505.703125, 4333.890625,               0
015,   1111514, 1111514,   45.358292,      30.000,57252.855469, 2646.719238,               0
016,   1617852, 1617852,   59.985146,      30.000,56322.066406, 3545.229736,               0
017,   1660130, 1660130,   62.698753,      30.000,56181.617188, 3679.525879,               0
018,   1333194, 1333194,   52.649773,      30.000,56828.261719, 3055.242920,               0
019,   1389042, 1389042,   55.552773,      30.000,56673.339844, 3203.417969,               0
020,   1833982, 1833982,   67.305634,      30.000,55841.855469, 4008.625000,               0
021,   1814751, 1814751,   67.196617,      30.000,55868.695312, 3981.941650,               0
022,   1535701, 1535701,   58.302914,      30.000,56449.292969, 3421.169922,               0
