tid,lock_impl_time(ms)
RUN 0
001,    68.551
-----------------------------------------------------------------------------------------------

RUN 1
001,    69.641
-----------------------------------------------------------------------------------------------

RUN 2
001,    69.126
-----------------------------------------------------------------------------------------------

RUN 3
001,    69.608
-----------------------------------------------------------------------------------------------

RUN 4
001,    71.554
-----------------------------------------------------------------------------------------------

