tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_ac(ms),wait_rel(ms),array_size(B)
RUN 0
000,   6772212, 6772212,  222.963135,      30.000,58878.347656,  690.555481,               0
001,   6440598, 6440598,  210.052734,      30.000,58943.398438,  651.289124,               0
002,   7409968, 7409968,  244.365311,      30.000,58764.164062,  756.092407,               0
003,   6370724, 6370724,  207.580521,      30.000,58960.324219,  643.480347,               0
004,   7404849, 7404849,  241.389923,      30.000,58783.613281,  747.424561,               0
005,   5067059, 5067059,  165.854446,      30.000,59166.527344,  514.307983,               0
006,   7085402, 7085402,  232.568085,      30.000,58827.187500,  720.908081,               0
007,   6353958, 6353958,  206.921234,      30.000,58961.785156,  639.708496,               0
008,   7101707, 7101707,  232.420593,      30.000,58827.277344,  723.359741,               0
009,   6185227, 6185227,  199.366394,      30.000,58994.980469,  620.218872,               0
010,   7005207, 7005207,  226.075500,      30.000,58860.558594,  706.114563,               0
011,   6875049, 6875049,  221.772461,      30.000,58887.242188,  687.112915,               0
012,   8076278, 8076278,  262.131561,      30.000,58675.171875,  812.176331,               0
013,   6179422, 6179422,  200.083481,      30.000,58994.859375,  622.312561,               0
014,   7008085, 7008085,  225.803009,      30.000,58855.046875,  702.708008,               0
015,   6120555, 6120555,  197.946335,      30.000,59001.835938,  613.491211,               0
016,   7018751, 7018751,  228.183975,      30.000,58855.535156,  706.507812,               0
017,   7157457, 7157457,  230.610718,      30.000,58834.792969,  716.397461,               0
018,   5323168, 5323168,  204.340851,      30.000,59093.574219,  540.887146,               0
019,   5792390, 5792390,  213.738602,      30.000,59035.046875,  581.619080,               0
020,   7392377, 7392377,  240.692566,      30.000,58782.570312,  745.710327,               0
021,   7333132, 7333132,  236.945389,      30.000,58803.363281,  732.754272,               0
022,   5615436, 5615436,  183.199860,      30.000,59087.511719,  568.374512,               0
023,   6208867, 6208867,  200.130356,      30.000,58992.597656,  620.440063,               0
024,   7733512, 7733512,  254.276260,      30.000,58722.421875,  781.988403,               0
025,   7330370, 7330370,  236.651978,      30.000,58760.226562,  774.058167,               0
026,   5321152, 5321152,  181.565552,      30.000,59085.503906,  567.858154,               0
027,   6103060, 6103060,  197.782211,      30.000,59000.613281,  615.047791,               0
028,   8062893, 8062893,  262.443939,      30.000,58665.683594,  816.875122,               0
029,   7498903, 7498903,  255.421463,      30.000,58732.230469,  766.171326,               0
030,   6598890, 6598890,  214.771835,      30.000,58926.433594,  667.651123,               0
031,   6081434, 6081434,  195.867493,      30.000,59024.144531,  608.171326,               0
-------------------------------------------------------------------------------------------------------

RUN 1
000,   6260440, 6260440,  203.175461,      30.000,58966.308594,  631.167664,               0
001,   7142174, 7142174,  231.621735,      30.000,58818.128906,  719.295654,               0
002,   7701734, 7701734,  250.077972,      30.000,58719.117188,  775.636353,               0
003,   6239203, 6239203,  202.427856,      30.000,58964.097656,  628.923706,               0
004,   7688416, 7688416,  249.900192,      30.000,58721.500000,  775.220642,               0
005,   6301441, 6301441,  204.545975,      30.000,58951.937500,  634.444092,               0
006,   7237393, 7237393,  235.965393,      30.000,58791.402344,  732.175598,               0
007,   6764133, 6764133,  219.842667,      30.000,58877.910156,  681.354248,               0
008,   7613939, 7613939,  245.116562,      30.000,58743.140625,  761.713501,               0
009,   6876425, 6876425,  221.203735,      30.000,58870.375000,  687.553162,               0
010,   6931147, 6931147,  224.265915,      30.000,58853.675781,  695.792664,               0
011,   5902296, 5902296,  189.875824,      30.000,59036.359375,  590.649841,               0
012,   7559896, 7559896,  243.166245,      30.000,58759.285156,  755.530945,               0
013,   6179709, 6179709,  198.975922,      30.000,58989.105469,  618.171082,               0
014,   6614550, 6614550,  214.242966,      30.000,58907.339844,  665.656799,               0
015,   5575295, 5575295,  183.239838,      30.000,59076.457031,  564.788940,               0
016,   6177056, 6177056,  200.897552,      30.000,58973.093750,  621.550659,               0
017,   7138225, 7138225,  231.601013,      30.000,58824.746094,  717.690491,               0
018,   6747099, 6747099,  219.387161,      30.000,58878.339844,  678.604980,               0
019,   6523352, 6523352,  210.623032,      30.000,58932.136719,  650.603638,               0
020,   6896149, 6896149,  231.088058,      30.000,58819.285156,  716.773743,               0
021,   7326887, 7326887,  236.725815,      30.000,58798.320312,  733.770142,               0
022,   5448293, 5448293,  176.885300,      30.000,59095.218750,  549.305603,               0
023,   5716286, 5716286,  184.340302,      30.000,59058.988281,  570.286560,               0
024,   7041309, 7041309,  228.790298,      30.000,58838.679688,  708.010620,               0
025,   8280139, 8280139,  267.115265,      30.000,58644.398438,  825.783813,               0
026,   6776123, 6776123,  220.058517,      30.000,58879.097656,  682.435547,               0
027,   6112982, 6112982,  197.703964,      30.000,58980.148438,  627.654724,               0
028,   6795359, 6795359,  220.474442,      30.000,58872.164062,  683.688721,               0
029,   8003794, 8003794,  258.064423,      30.000,58682.359375,  798.789185,               0
030,   5423119, 5423119,  176.732407,      30.000,59098.726562,  548.254761,               0
031,   6317410, 6317410,  203.776047,      30.000,58958.042969,  630.452148,               0
-------------------------------------------------------------------------------------------------------

RUN 2
000,   6500196, 6500196,  214.595978,      30.000,58904.160156,  664.599976,               0
001,   6586298, 6586298,  214.110779,      30.000,58903.277344,  664.231689,               0
002,   8176381, 8176381,  265.422974,      30.000,58599.417969,  840.434265,               0
003,   6943784, 6943784,  225.993896,      30.000,58850.476562,  700.137512,               0
004,   8035759, 8035759,  263.266571,      30.000,58653.750000,  816.277649,               0
005,   6497797, 6497797,  211.377136,      30.000,58915.183594,  656.825500,               0
006,   7330603, 7330603,  242.730850,      30.000,58763.714844,  754.674133,               0
007,   6265823, 6265823,  207.290955,      30.000,58949.394531,  643.354980,               0
008,   7284120, 7284120,  234.686661,      30.000,58802.265625,  730.385559,               0
009,   6286411, 6286411,  202.394989,      30.000,58972.644531,  629.262024,               0
010,   6592191, 6592191,  213.174164,      30.000,58912.078125,  662.508484,               0
011,   6150519, 6150519,  198.529388,      30.000,58987.968750,  617.016296,               0
012,   7269955, 7269955,  234.503281,      30.000,58797.187500,  729.288147,               0
013,   6409570, 6409570,  206.888351,      30.000,58939.304688,  642.685730,               0
014,   7065402, 7065402,  230.192673,      30.000,58822.792969,  714.186584,               0
015,   5263815, 5263815,  174.489532,      30.000,59042.050781,  575.504028,               0
016,   7231045, 7231045,  236.362030,      30.000,58800.167969,  728.244324,               0
017,   7610194, 7610194,  245.628082,      30.000,58744.519531,  761.196472,               0
018,   5513026, 5513026,  179.645645,      30.000,59089.511719,  558.401123,               0
019,   5898802, 5898802,  191.172791,      30.000,58995.847656,  590.010742,               0
020,   7183710, 7183710,  240.568420,      30.000,58803.343750,  724.271301,               0
021,   7248901, 7248901,  234.986023,      30.000,58812.089844,  725.920410,               0
022,   5746081, 5746081,  187.460007,      30.000,59035.074219,  584.821350,               0
023,   6051790, 6051790,  195.300079,      30.000,58998.871094,  604.080139,               0
024,   7305116, 7305116,  237.292404,      30.000,58795.644531,  735.643372,               0
025,   7112751, 7112751,  230.695953,      30.000,58831.824219,  713.902161,               0
026,   5999645, 5999645,  194.867157,      30.000,59008.667969,  605.451172,               0
027,   6558704, 6558704,  223.390060,      30.000,58899.539062,  657.573303,               0
028,   7046158, 7046158,  229.377625,      30.000,58824.398438,  711.779907,               0
029,   7716914, 7716914,  248.929489,      30.000,58736.894531,  769.842163,               0
030,   5643684, 5643684,  183.512283,      30.000,59063.324219,  568.869629,               0
031,   5996275, 5996275,  193.467133,      30.000,59010.429688,  598.870300,               0
-------------------------------------------------------------------------------------------------------

RUN 3
000,   5978855, 5978855,  200.103790,      30.000,58987.929688,  614.184692,               0
001,   7419692, 7419692,  241.494766,      30.000,58739.574219,  747.124512,               0
002,   5997051, 5997051,  194.573868,      30.000,59002.714844,  603.971313,               0
003,   7350167, 7350167,  238.894455,      30.000,58781.421875,  740.744202,               0
004,   6019958, 6019958,  195.366394,      30.000,58998.441406,  606.711182,               0
005,   6986429, 6986429,  227.043091,      30.000,58839.683594,  703.676880,               0
006,   5990916, 5990916,  196.256607,      30.000,58996.769531,  605.863464,               0
007,   6979976, 6979976,  227.253220,      30.000,58840.316406,  704.264343,               0
008,   6178056, 6178056,  199.307495,      30.000,58991.691406,  617.773560,               0
009,   7916832, 7916832,  255.791199,      30.000,58681.324219,  803.603088,               0
