tid,lock_impl_time(ms)
RUN 0
001,    60.993
-----------------------------------------------------------------------------------------------

RUN 1
001,    61.704
-----------------------------------------------------------------------------------------------

RUN 2
001,    62.252
-----------------------------------------------------------------------------------------------

RUN 3
001,    62.305
-----------------------------------------------------------------------------------------------

RUN 4
001,    62.529
-----------------------------------------------------------------------------------------------

