tid,lock_impl_time(ms)
RUN 0
001,    72.141
-----------------------------------------------------------------------------------------------

RUN 1
001,    71.257
-----------------------------------------------------------------------------------------------

RUN 2
001,    71.004
-----------------------------------------------------------------------------------------------

RUN 3
001,    71.220
-----------------------------------------------------------------------------------------------

RUN 4
001,    70.513
-----------------------------------------------------------------------------------------------

