tid,lock_impl_time(ms)
RUN 0
001,    62.236
-----------------------------------------------------------------------------------------------

RUN 1
001,    59.948
-----------------------------------------------------------------------------------------------

RUN 2
001,    57.457
-----------------------------------------------------------------------------------------------

RUN 3
001,    60.341
-----------------------------------------------------------------------------------------------

RUN 4
001,    60.108
-----------------------------------------------------------------------------------------------

