tid,lock_impl_time(ms)
RUN 0
001,   105.274
-----------------------------------------------------------------------------------------------

RUN 1
001,   106.144
-----------------------------------------------------------------------------------------------

RUN 2
001,   102.569
-----------------------------------------------------------------------------------------------

RUN 3
001,   101.761
-----------------------------------------------------------------------------------------------

RUN 4
001,   102.261
-----------------------------------------------------------------------------------------------

