tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio,colocated_access,non_colocated_access
001,00000000,00750941,00007555,010,00411986,00000000,00000000,001024,002,000,00001024,00386840,01,0000015618480937,00000000,00000000,004,004,016,016,1,0000,050,250879,962971
002,00000000,00752034,00007536,010,00411746,00000000,00000000,001024,002,000,00001024,00386676,01,0000015639857116,00000000,00000000,004,004,016,016,1,0000,050,250714,964807
003,00000000,00751164,00007609,010,00412795,00000000,00000000,001024,002,000,00001024,00387314,01,0000015674234177,00000000,00000000,004,004,016,016,1,0000,050,251401,963679
004,00000000,00751025,00006607,010,00413148,00000000,00000000,001024,002,000,00001024,00387760,01,0000015690570036,00000000,00000000,004,004,016,016,1,0000,050,251688,963465
005,00000000,00750668,00007761,010,00411520,00000000,00000000,001024,002,000,00001024,00386251,01,0000015694641230,00000000,00000000,004,004,016,016,1,0000,050,249797,962816
006,00000000,00748718,00007036,010,00411445,00000000,00000000,001024,002,000,00001024,00385902,01,0000014931918683,00000000,00000000,004,004,016,016,1,0000,050,250509,961255
007,00000000,00744073,00007432,010,00410386,00000000,00000000,001024,002,000,00001024,00384910,01,0000015770015972,00000000,00000000,004,004,016,016,1,0000,050,249155,956279
008,00000000,00749934,00007364,010,00412529,00000000,00000000,001024,002,000,00001024,00386882,01,0000015704744265,00000000,00000000,004,004,016,016,1,0000,050,251465,961842
009,00000000,00747077,00007295,010,00410983,00000000,00000000,001024,002,000,00001024,00385345,01,0000015712916312,00000000,00000000,004,004,016,016,1,0000,050,248924,959839
010,00000000,00748715,00007722,010,00411377,00000000,00000000,001024,002,000,00001024,00386014,01,0000015741853090,00000000,00000000,004,004,016,016,1,0000,050,250965,960551
011,00000000,00747894,00007705,010,00411324,00000000,00000000,001024,002,000,00001024,00385733,01,0000015804303432,00000000,00000000,004,004,016,016,1,0000,050,249772,960238
012,00000000,00748525,00007608,010,00412878,00000000,00000000,001024,002,000,00001024,00387121,01,0000015690762770,00000000,00000000,004,004,016,016,1,0000,050,250350,961846
013,00000000,00747921,00008110,010,00412794,00000000,00000000,001024,002,000,00001024,00385660,01,0000015708719901,00000000,00000000,004,004,016,016,1,0000,050,250179,959567
014,00000000,00746976,00007128,010,00410575,00000000,00000000,001024,002,000,00001024,00385789,01,0000015729112516,00000000,00000000,004,004,016,016,1,0000,050,250139,959185
015,00000000,00728322,00007476,010,00399660,00000000,00000000,001024,002,000,00001024,00375546,01,0000004646093921,00000000,00000000,004,004,016,016,1,0000,050,243052,934465
