tid,lock_impl_time(ms)
RUN 0
001,    54.984
-----------------------------------------------------------------------------------------------

RUN 1
001,    53.428
-----------------------------------------------------------------------------------------------

RUN 2
001,    51.219
-----------------------------------------------------------------------------------------------

RUN 3
001,    72.007
-----------------------------------------------------------------------------------------------

RUN 4
001,    65.737
-----------------------------------------------------------------------------------------------

