lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,array_size,nodeID,run,lockNR
0011231,0000160,0000031,0001009,0030508,0010610,0029976,001024,001,000,0256
0018956,0001070,0000230,0001083,0044303,0018315,0044144,001024,001,000,0256
0007634,0000150,0000030,0001005,0014136,0005881,0014097,001024,002,000,0256
0011322,0001039,0000301,0001085,0019958,0008657,0019717,001024,002,000,0256
0011051,0000151,0000031,0001009,0030197,0010420,0029636,001024,003,000,0256
0018996,0001070,0000230,0001083,0044243,0018325,0044093,001024,003,000,0256
0007865,0000180,0000040,0001005,0014487,0005951,0014437,001024,004,000,0256
0014067,0001042,0000341,0001086,0023374,0010630,0023064,001024,004,000,0256
0008005,0000150,0000030,0001004,0014527,0006142,0014487,001024,001,001,0256
0017152,0001035,0000311,0001074,0024245,0015419,0024065,001024,001,001,0256
0007995,0000150,0000030,0001005,0014508,0006142,0014468,001024,002,001,0256
0017353,0001035,0000311,0001075,0024597,0015570,0024376,001024,002,001,0256
0013625,0000160,0000031,0001009,0032311,0012984,0031930,001024,003,001,0256
0021601,0001066,0000221,0001043,0046257,0020889,0046066,001024,003,001,0256
0007965,0000180,0000040,0001005,0014598,0006201,0014547,001024,004,001,0256
0017643,0001038,0000341,0001075,0025568,0015860,0025327,001024,004,001,0256
0008126,0000150,0000030,0001005,0014678,0006272,0014637,001024,001,002,0256
0018415,0001040,0000321,0001077,0025678,0016661,0025488,001024,001,002,0256
0007955,0000150,0000030,0001004,0014477,0006242,0014437,001024,002,002,0256
0018314,0001036,0000301,0001078,0025559,0016702,0025348,001024,002,002,0256
0014126,0000160,0000031,0001009,0032421,0013495,0032031,001024,003,002,0256
0022973,0001067,0000230,0001045,0047980,0022242,0047730,001024,003,002,0256
0008065,0000180,0000040,0001005,0014697,0006301,0014638,001024,004,002,0256
0019125,0001037,0000321,0001079,0027271,0017362,0026951,001024,004,002,0256
