tid,lock_impl_time(ms)
RUN 0
001,    65.467
-----------------------------------------------------------------------------------------------

RUN 1
001,    67.917
-----------------------------------------------------------------------------------------------

RUN 2
001,    65.778
-----------------------------------------------------------------------------------------------

RUN 3
001,    65.165
-----------------------------------------------------------------------------------------------

RUN 4
001,    66.360
-----------------------------------------------------------------------------------------------

