lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,pinning
0000000,0000181,0000170,3002936,0004468,0002525,0002114,0000010,001024,000,000,0032,01
0000000,0001059,0000451,9002776,0006372,0003536,0002895,0000065,001024,000,000,0032,01
