tid,lock_impl_time(ms)
RUN 0
001,56250.621094
002,56485.425781
003,56264.046875
004,56582.394531
005,56339.457031
006,56237.000000
007,56016.839844
008,56068.765625
009,56319.437500
010,56132.808594
011,56184.621094
012,56014.410156
013,56272.433594
014,56245.218750
015,56216.976562
016,56087.460938
-----------------------------------------------------------------------------------------------

RUN 1
001,55960.738281
002,56175.000000
003,55963.253906
004,56205.753906
005,56212.761719
006,56099.347656
007,56125.468750
008,56323.074219
009,56208.964844
010,56400.050781
011,56425.480469
012,56367.671875
013,56280.761719
014,56470.789062
015,56065.300781
016,56437.343750
-----------------------------------------------------------------------------------------------

