tid,lock_impl_time(ms)
RUN 0
001, 26699.551
002, 26568.492
003, 26426.057
004, 26754.207
005, 26367.023
006, 26502.195
007, 26482.578
008, 26481.818
009, 26273.424
010, 26555.424
011, 26361.480
012, 26537.189
013, 26500.295
014, 26273.215
015, 26546.809
016, 26549.121
-----------------------------------------------------------------------------------------------

RUN 1
001, 26633.912
002, 26701.410
003, 26553.100
004, 26513.453
005, 26415.004
006, 26188.053
007, 26399.721
008, 26671.426
009, 26321.467
010, 26254.271
011, 26436.174
012, 26323.393
013, 26201.686
014, 26535.598
015, 26575.346
016, 26463.330
-----------------------------------------------------------------------------------------------

RUN 2
001, 26801.582
002, 26465.682
003, 26353.703
004, 26660.486
005, 26565.512
006, 26501.498
007, 26569.820
008, 26452.334
009, 26174.406
010, 26385.818
011, 26535.953
012, 26425.826
013, 26431.256
014, 26432.426
015, 26335.133
016, 26496.025
-----------------------------------------------------------------------------------------------

RUN 3
001, 26578.441
002, 26614.049
003, 26459.014
004, 26670.668
005, 26669.303
006, 26507.953
007, 26650.973
008, 26534.002
009, 26181.047
010, 26343.992
011, 26485.318
012, 26514.541
013, 26548.324
014, 26131.742
015, 26313.488
016, 26278.973
-----------------------------------------------------------------------------------------------

RUN 4
001, 26501.146
002, 26529.641
003, 26376.514
004, 26712.279
005, 26575.801
006, 26642.682
007, 26542.354
008, 26728.033
009, 26210.072
010, 26474.447
011, 26504.361
012, 26428.758
013, 26398.320
014, 26431.029
015, 26170.557
016, 26167.518
-----------------------------------------------------------------------------------------------

