tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
009,     10739,   10739,    0.118364,   30.000000,22181.146484,  320.027008,21832.953125,    1.693392,  347.136719,  317.314453,               0,000,001
010,     10739,   10739,    0.118178,   30.000000,22177.341797,  323.905243,21823.195312,    2.123455,  353.062317,  320.649719,               0,000,001
011,     10739,   10739,    0.119030,   30.000000,22149.865234,  351.432068,21758.904297,    1.893874,  389.631653,  348.025330,               0,000,001
012,     10739,   10739,    0.118150,   30.000000,22153.484375,  347.801788,21788.804688,    2.101067,  363.263000,  344.499725,               0,000,001
013,     10739,   10739,    0.118808,   30.000000,22181.097656,  320.442230,21824.699219,    1.866277,  355.080811,  317.417084,               0,000,001
014,     10738,   10738,    0.118750,   30.000000,22176.970703,  323.232971,21815.578125,    2.372792,  360.134552,  319.580994,               0,000,001
015,     10738,   10738,    0.125859,   30.000000,22165.570312,  334.012390,21784.171875,    2.346775,  379.827637,  330.282745,               0,000,001
016,     10738,   10738,    0.117769,   30.000000,22156.314453,  343.548706,21785.818359,    2.228803,  369.262390,  340.043732,               0,000,001
017,     10738,   10738,    0.118702,   30.000000,22165.033203,  335.281769,21806.820312,    2.473366,  356.897797,  331.627411,               0,000,001
018,     10738,   10738,    0.117757,   30.000000,22168.857422,  331.169373,21811.771484,    1.033874,  356.140991,  329.188477,               0,000,001
019,     10738,   10738,    0.118124,   30.000000,22167.972656,  332.227570,21814.542969,    1.239280,  352.389893,  330.012909,               0,000,001
020,     10738,   10738,    0.117385,   30.000000,22167.232422,  333.382263,21811.746094,    1.322801,  354.521606,  331.020691,               0,000,001
021,     10738,   10738,    0.126313,   30.000000,22168.410156,  332.105103,21810.423828,    1.088006,  356.943085,  330.067200,               0,000,001
022,     10738,   10738,    0.139834,   30.000000,22138.058594,  361.916595,21779.255859,    1.235706,  357.686127,  359.633240,               0,000,001
023,     10738,   10738,    0.118408,   30.000000,22150.375000,  349.368408,21784.195312,    1.612967,  365.025360,  346.852997,               0,000,001
024,     10738,   10738,    0.125752,   30.000000,22156.605469,  343.600555,21801.402344,    1.201088,  354.151764,  341.351746,               0,000,001
025,     10738,   10738,    0.118280,   30.000000,22162.148438,  337.903961,21799.083984,    1.242559,  361.984650,  335.746124,               0,000,001
026,     10738,   10738,    0.118173,   30.000000,22167.767578,  332.806030,21802.892578,    1.249502,  363.802551,  330.641388,               0,000,001
027,     10738,   10738,    0.118179,   30.000000,22166.783203,  333.628235,21805.494141,    1.672265,  360.222687,  331.024902,               0,000,001
028,     10739,   10739,    0.118073,   30.000000,22162.101562,  339.373718,21795.005859,    1.630626,  366.087250,  336.671387,               0,000,001
029,     10739,   10739,    0.118158,   30.000000,22153.021484,  348.320679,21773.316406,    1.679654,  378.630676,  345.764679,               0,000,001
030,     10738,   10738,    0.118153,   30.000000,22163.181641,  336.712830,21798.404297,    1.290057,  363.814850,  334.388641,               0,000,001
031,     10738,   10738,    0.118686,   30.000000,22155.484375,  345.247681,21796.275391,    1.563599,  358.195160,  342.630188,               0,000,001
