tid,lock_impl_time(ms)
RUN 0
001,   108.693
-----------------------------------------------------------------------------------------------

RUN 1
001,    90.017
-----------------------------------------------------------------------------------------------

RUN 2
001,    61.911
-----------------------------------------------------------------------------------------------

RUN 3
001,    62.749
-----------------------------------------------------------------------------------------------

RUN 4
001,    63.302
-----------------------------------------------------------------------------------------------

