tid,wait_acq(ms),wait_rel(ms)
RUN 0
001,  0.503582,  0.000357
001,  0.401377,  0.000110
001,  0.361352,  0.000108
001,  0.356808,  0.000102
001,  0.358825,  0.000107
001,  0.352630,  0.000110
001,  0.381980,  0.000112
001,  0.388560,  0.000147
001,  0.355943,  0.000110
001,  0.333743,  0.000115
003,  0.261520,  0.000362
003,  0.426435,  0.000110
003,  0.352488,  0.000108
003,  0.348420,  0.000120
003,  0.355422,  0.000125
003,  0.344628,  0.000112
003,  0.341762,  0.000110
003,  0.394503,  0.000143
003,  0.362037,  0.000115
003,  0.338230,  0.000118
002,  0.438883,  0.000357
002,  0.437383,  0.000182
002,  0.368253,  0.000177
002,  0.364122,  0.000178
002,  0.373280,  0.000173
002,  0.360687,  0.000148
002,  0.378413,  0.000148
002,  0.399717,  0.000198
002,  0.372353,  0.000133
002,  0.342370,  0.000155
005,  0.573815,  0.000432
005,  0.382677,  0.000192
005,  0.367125,  0.000147
005,  0.368223,  0.000148
005,  0.365588,  0.000138
005,  0.357135,  0.000153
005,  0.392983,  0.000148
005,  0.398050,  0.000218
005,  0.357328,  0.000148
005,  0.336167,  0.000323
004,  0.170933,  0.000388
004,  0.481737,  0.000167
004,  0.367747,  0.000193
004,  0.359032,  0.000127
004,  0.361265,  0.000152
004,  0.356725,  0.000123
004,  0.352808,  0.000153
004,  0.391777,  0.000133
004,  0.375570,  0.000148
004,  0.350650,  0.000138
006,  0.001193,  0.000648
006,  0.553355,  0.000113
006,  0.399235,  0.000107
006,  0.376198,  0.000115
006,  0.378210,  0.000115
006,  0.374717,  0.000110
006,  0.366468,  0.000112
006,  0.403000,  0.000108
006,  0.410195,  0.000118
006,  0.366793,  0.000110
007,  0.093767,  0.000370
007,  0.515187,  0.000142
007,  0.383383,  0.000120
007,  0.365205,  0.000113
007,  0.365570,  0.000112
007,  0.364970,  0.000117
007,  0.360830,  0.000113
007,  0.400993,  0.000172
007,  0.389622,  0.000117
007,  0.358055,  0.000118
008,  0.351105,  0.000413
008,  0.429818,  0.000158
008,  0.354130,  0.000122
008,  0.347573,  0.000112
008,  0.357960,  0.000132
008,  0.342868,  0.000122
008,  0.347822,  0.000112
008,  0.374083,  0.000148
008,  0.359633,  0.000112
008,  0.338825,  0.000117
009,  5.112778,  0.000638
009,  0.500280,  0.000267
009,  0.396623,  0.000263
009,  0.387383,  0.000270
009,  0.393987,  0.000263
009,  0.401112,  0.000283
009,  0.400685,  0.000267
009,  0.402397,  0.000263
009,  0.390855,  0.000272
009,  0.383610,  0.000260
010,  5.031368,  0.000427
010,  0.514905,  0.000130
010,  0.379127,  0.000108
010,  0.376882,  0.000113
010,  0.367460,  0.000117
010,  0.391760,  0.000120
010,  0.379410,  0.000113
010,  0.403855,  0.000110
010,  0.379655,  0.000118
010,  0.377653,  0.000112
011,  5.197013,  0.000532
011,  0.486488,  0.000118
011,  0.394498,  0.000143
011,  0.384402,  0.000132
011,  0.394328,  0.000117
011,  0.390220,  0.000128
011,  0.409297,  0.000123
011,  0.389922,  0.000093
011,  0.387288,  0.000118
011,  0.379180,  0.000122
012,  5.342504,  0.000378
012,  0.448560,  0.000110
012,  0.388278,  0.000152
012,  0.377622,  0.000112
012,  0.402362,  0.000113
012,  0.385815,  0.000093
012,  0.419365,  0.000108
012,  0.398848,  0.000120
012,  0.377303,  0.000113
012,  0.380885,  0.000110
014,  5.566177,  0.000405
014,  0.389755,  0.000117
014,  0.389777,  0.000148
014,  0.378068,  0.000147
014,  0.389602,  0.000123
014,  0.391080,  0.000113
014,  0.404777,  0.000120
014,  0.389288,  0.000118
014,  0.376860,  0.000122
014,  0.380785,  0.000228
013,  5.420249,  0.000398
013,  0.429557,  0.000115
013,  0.389993,  0.000118
013,  0.381897,  0.000148
013,  0.408138,  0.000115
013,  0.385885,  0.000133
013,  0.422588,  0.000113
013,  0.398958,  0.000115
013,  0.382253,  0.000117
013,  0.379482,  0.000125
015,  5.493452,  0.000385
015,  0.419885,  0.000163
015,  0.388380,  0.000123
015,  0.372862,  0.000112
015,  0.403892,  0.000112
015,  0.391800,  0.000122
015,  0.411330,  0.000115
015,  0.397195,  0.000122
015,  0.375027,  0.000113
015,  0.389092,  0.000110
016,  5.265012,  0.000357
016,  0.474047,  0.000113
016,  0.395488,  0.000115
016,  0.391182,  0.000115
016,  0.400900,  0.000112
016,  0.395917,  0.000127
016,  0.424702,  0.000115
016,  0.402567,  0.000115
016,  0.373168,  0.000115
016,  0.380782,  0.000117
-----------------------------------------------------------------------------------------------

RUN 1
001,  0.314973,  0.000220
001,  0.405325,  0.000120
001,  0.391303,  0.000138
001,  0.369572,  0.000122
001,  0.375270,  0.000112
001,  0.357730,  0.000112
001,  0.383728,  0.000112
001,  0.345480,  0.000112
001,  0.349265,  0.000110
001,  0.340223,  0.000117
003,  0.433745,  0.000223
003,  0.390098,  0.000123
003,  0.373788,  0.000127
003,  0.346572,  0.000093
003,  0.357107,  0.000102
003,  0.355080,  0.000095
003,  0.376572,  0.000127
003,  0.330612,  0.000127
003,  0.331688,  0.000110
003,  0.336267,  0.000127
