tid,lock_impl_time(ms)
RUN 0
001,   137.685
-----------------------------------------------------------------------------------------------

RUN 1
001,   118.869
-----------------------------------------------------------------------------------------------

RUN 2
001,   109.019
-----------------------------------------------------------------------------------------------

RUN 3
001,   159.719
-----------------------------------------------------------------------------------------------

RUN 4
001,   144.141
-----------------------------------------------------------------------------------------------

