tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_ac(ms),wait_rel(ms),array_size(B)
RUN 0
000,        16,       1,    0.000910,       0.009,    0.001793,    0.000320,             256
000,        32,       1,    0.000430,       0.000,    0.001907,    0.000143,             512
000,        64,       1,    0.000680,       0.000,    0.002467,    0.000123,            1024
000,       128,       1,    0.001360,       0.000,    0.011447,    0.000320,            2048
000,       256,       1,    0.002323,       0.000,    0.043093,    0.000277,            4096
000,       512,       1,    0.004190,       0.000,    0.056060,    0.000167,            8192
000,      1024,       1,    0.015171,       0.001,    0.209795,    0.000262,           16384
000,      2048,       1,    0.030138,       0.001,    0.303686,    0.000474,           32768
000,      4096,       1,    0.059873,       0.002,    0.307149,    0.000628,           65536
000,      8192,       1,    0.114086,       0.004,    1.461063,    0.000480,          131072
000,     16384,       1,    0.227588,       0.007,    2.691965,    0.000525,          262144
000,     32768,       1,    0.400055,       0.011,    0.746980,    0.000890,          524288
000,     65536,       1,    0.765559,       0.021,    0.001240,    0.000589,         1048576
000,    131072,       1,    1.027743,       0.035,    2.465270,    0.000600,         2097152
000,    262144,       1,    2.452603,       0.071,   15.488764,    0.000587,         4194304
000,    524288,       1,    3.973737,       0.133,   28.273371,    0.001143,         8388608
000,   1048576,       1,    8.995216,       0.260,   26.954334,    0.001467,        16777216
001,        16,       1,    0.001095,       0.009,    0.002362,    0.000636,             256
001,        32,       1,    0.000874,       0.000,    0.004068,    0.000314,             512
001,        64,       1,    0.001307,       0.000,    0.004829,    0.000365,            1024
001,       128,       1,    0.002068,       0.000,    0.011463,    0.000228,            2048
001,       256,       1,    0.004160,       0.000,    0.041520,    0.000367,            4096
001,       512,       1,    0.007719,       0.000,    0.113040,    0.000250,            8192
001,      1024,       1,    0.091955,       0.001,    0.267600,    0.000418,           16384
001,      2048,       1,    0.030205,       0.001,    0.382767,    0.000548,           32768
001,      4096,       1,    0.059754,       0.002,    0.461491,    0.000662,           65536
001,      8192,       1,    0.098945,       0.004,    1.782227,    0.000515,          131072
001,     16384,       1,    0.197430,       0.007,    2.494345,    0.000565,          262144
001,     32768,       1,    0.358008,       0.011,    0.000918,    0.000523,          524288
001,     65536,       1,    0.787965,       0.021,    4.798033,    0.000955,         1048576
001,    131072,       1,    1.485605,       0.035,    4.496635,    0.000800,         2097152
001,    262144,       1,    2.015180,       0.071,   54.944752,    0.000940,         4194304
001,    524288,       1,    4.474494,       0.133,   48.403187,    0.001030,         8388608
001,   1048576,       1,    8.137597,       0.260,  116.422836,    0.000920,        16777216
002,        16,       1,    0.001200,       0.009,    0.007813,    0.000713,             256
002,        32,       1,    0.000653,       0.000,    0.001423,    0.000232,             512
002,        64,       1,    0.001145,       0.000,    0.000913,    0.000357,            1024
002,       128,       1,    0.001974,       0.000,    0.023815,    0.000097,            2048
002,       256,       1,    0.002855,       0.000,    0.014547,    0.000097,            4096
002,       512,       1,    0.005807,       0.000,    0.020893,    0.000338,            8192
002,      1024,       1,    0.011099,       0.001,    0.093023,    0.000211,           16384
002,      2048,       1,    0.021957,       0.001,    0.134097,    0.000214,           32768
002,      4096,       1,    0.043739,       0.002,    0.263187,    0.000277,           65536
002,      8192,       1,    0.087213,       0.004,    1.879978,    0.000383,          131072
002,     16384,       1,    0.218710,       0.007,    2.277066,    0.000625,          262144
002,     32768,       1,    0.433975,       0.011,    2.889940,    0.000930,          524288
002,     65536,       1,    0.673644,       0.021,    8.324906,    0.000604,         1048576
002,    131072,       1,    0.984627,       0.035,   30.302679,    0.000523,         2097152
002,    262144,       1,    2.179327,       0.071,    0.000873,    0.000450,         4194304
002,    524288,       1,    4.071687,       0.133,  116.911758,    0.001293,         8388608
002,   1048576,       1,    8.086880,       0.260,   68.321655,    0.001057,        16777216
003,        16,       1,    0.001353,       0.009,    0.004680,    0.000827,             256
003,        32,       1,    0.000715,       0.000,    0.010650,    0.000235,             512
003,        64,       1,    0.001105,       0.000,    0.013300,    0.000215,            1024
003,       128,       1,    0.001840,       0.000,    0.018695,    0.000135,            2048
003,       256,       1,    0.003685,       0.000,    0.005155,    0.000340,            4096
003,       512,       1,    0.007195,       0.000,    0.026360,    0.000200,            8192
003,      1024,       1,    0.013890,       0.001,    0.066075,    0.000190,           16384
003,      2048,       1,    0.027480,       0.001,    0.046150,    0.000190,           32768
003,      4096,       1,    0.054510,       0.002,    0.150685,    0.000500,           65536
003,      8192,       1,    0.113660,       0.004,    1.114905,    0.000730,          131072
003,     16384,       1,    0.218660,       0.007,    1.629665,    0.000780,          262144
003,     32768,       1,    0.324177,       0.011,    3.677162,    0.000669,          524288
003,     65536,       1,    0.646952,       0.021,    4.153149,    0.000517,         1048576
003,    131072,       1,    0.990577,       0.035,   20.261480,    0.000500,         2097152
003,    262144,       1,    1.969300,       0.071,   56.959679,    0.000740,         4194304
003,    524288,       1,    3.993990,       0.133,  101.060013,    0.000887,         8388608
003,   1048576,       1,    7.882440,       0.260,   84.528160,    0.000733,        16777216
004,        16,       1,    0.002211,       0.009,    0.004943,    0.001702,             256
004,        32,       1,    0.000868,       0.000,    0.008246,    0.000355,             512
004,        64,       1,    0.001413,       0.000,    0.002548,    0.000435,            1024
004,       128,       1,    0.002240,       0.000,    0.008222,    0.000349,            2048
004,       256,       1,    0.004000,       0.000,    0.077110,    0.000263,            4096
004,       512,       1,    0.008051,       0.000,    0.021908,    0.000371,            8192
004,      1024,       1,    0.018227,       0.001,    0.119027,    0.000340,           16384
004,      2048,       1,    0.031420,       0.001,    0.272007,    0.000220,           32768
004,      4096,       1,    0.064593,       0.002,    0.518713,    0.000540,           65536
004,      8192,       1,    0.126207,       0.004,    2.862907,    0.000473,          131072
004,     16384,       1,    0.253807,       0.007,    6.424767,    0.000587,          262144
004,     32768,       1,    0.317735,       0.011,    6.113301,    0.000539,          524288
004,     65536,       1,    0.706370,       0.021,   14.951080,    0.000387,         1048576
004,    131072,       1,    1.314259,       0.035,    0.001128,    0.000517,         2097152
004,    262144,       1,    2.143337,       0.071,   22.533724,    0.001160,         4194304
004,    524288,       1,    4.551010,       0.133,   88.619171,    0.001060,         8388608
004,   1048576,       1,    8.122077,       0.260,   35.948471,    0.000823,        16777216
005,        16,       1,    0.001393,       0.009,    0.002220,    0.000887,             256
005,        32,       1,    0.001380,       0.000,    0.000893,    0.000773,             512
005,        64,       1,    0.001653,       0.000,    0.002307,    0.000613,            1024
005,       128,       1,    0.002347,       0.000,    0.029187,    0.000240,            2048
005,       256,       1,    0.004553,       0.000,    0.042747,    0.000660,            4096
005,       512,       1,    0.008113,       0.000,    0.128060,    0.000333,            8192
005,      1024,       1,    0.016040,       0.001,    0.396387,    0.000507,           16384
005,      2048,       1,    0.028772,       0.001,    0.559850,    0.000308,           32768
005,      4096,       1,    0.057302,       0.002,    0.990017,    0.000474,           65536
005,      8192,       1,    0.114113,       0.004,    3.093252,    0.000537,          131072
005,     16384,       1,    0.227600,       0.007,    5.936743,    0.000537,          262144
005,     32768,       1,    0.311006,       0.012,    6.742804,    0.000404,          524288
005,     65536,       1,    0.609557,       0.021,   16.327566,    0.000670,         1048576
005,    131072,       1,    1.008767,       0.035,   13.700546,    0.000593,         2097152
005,    262144,       1,    2.018087,       0.071,   35.032497,    0.000717,         4194304
005,    524288,       1,    4.030543,       0.133,   32.248402,    0.001117,         8388608
005,   1048576,       1,    9.142248,       0.260,   17.813881,    0.000793,        16777216
006,        16,       1,    0.001205,       0.009,    0.004805,    0.000805,             256
006,        32,       1,    0.001150,       0.000,    0.002170,    0.000500,             512
