tid,lock_impl_time(ms)
RUN 0
001,    99.286
-----------------------------------------------------------------------------------------------

RUN 1
001,    81.955
-----------------------------------------------------------------------------------------------

RUN 2
001,   104.575
-----------------------------------------------------------------------------------------------

RUN 3
001,    83.820
-----------------------------------------------------------------------------------------------

RUN 4
001,   106.750
-----------------------------------------------------------------------------------------------

