tid,lock_impl_time(ms)
RUN 0
001, 19915.596
003, 18808.059
002, 19908.057
004, 18496.006
005, 19867.963
006, 18723.439
007, 19951.629
008, 18977.412
009, 19889.637
010, 18576.357
012, 19980.645
011, 18842.650
013, 19946.719
014, 18364.676
015, 19890.467
016, 18567.127
017, 19982.191
018, 18495.537
020, 19785.508
019, 18762.154
022, 19815.846
021, 18831.543
023, 20025.500
024, 18937.213
025, 19826.707
026, 18755.711
028, 19893.740
027, 18568.314
029, 19931.150
-----------------------------------------------------------------------------------------------

RUN 1
001, 20075.803
003, 18789.051
002, 20066.357
004, 18366.275
005, 20086.471
006, 18423.598
007, 20081.969
008, 19191.283
009, 20120.148
010, 18267.932
012, 20119.793
011, 18821.514
013, 20078.299
014, 18400.377
015, 20066.373
016, 18251.949
017, 20007.148
018, 18607.160
020, 20107.217
019, 18524.201
022, 20098.109
021, 18435.270
023, 20119.123
024, 19007.941
025, 20015.643
026, 18386.055
028, 20051.475
027, 18536.244
029, 20012.225
-----------------------------------------------------------------------------------------------

RUN 2
001, 19987.699
003, 18340.258
002, 20007.305
004, 18783.830
005, 20086.584
006, 18739.883
007, 20058.354
008, 18988.965
009, 19987.350
010, 18470.623
012, 20036.279
011, 18598.633
013, 20103.684
014, 18500.355
015, 20011.359
016, 18490.148
017, 20022.826
018, 18493.654
020, 20078.465
019, 18344.479
022, 20026.416
021, 18573.072
023, 20040.432
024, 18787.689
025, 20046.982
026, 18765.646
028, 20070.111
027, 18315.326
029, 20079.727
-----------------------------------------------------------------------------------------------

RUN 3
001, 19038.646
003, 19857.074
002, 19071.244
004, 19783.672
005, 19046.453
006, 19790.316
007, 18988.352
008, 19938.279
009, 18914.248
010, 19790.607
012, 18888.582
011, 19949.885
013, 18879.588
014, 19783.689
015, 18832.334
016, 19806.104
017, 18833.076
018, 19799.646
020, 18978.932
019, 19809.521
022, 18686.117
021, 19670.688
023, 18977.643
024, 19746.227
025, 18971.084
026, 19762.039
028, 18979.143
027, 19744.885
029, 19106.211
-----------------------------------------------------------------------------------------------

RUN 4
001, 18528.271
003, 20042.418
002, 18768.715
004, 19999.541
005, 18770.604
006, 20007.189
007, 18521.555
008, 20031.201
009, 18570.301
010, 19968.875
012, 18722.645
011, 19999.475
013, 18720.033
014, 20046.789
015, 18395.814
016, 19996.516
017, 18830.834
018, 19996.932
020, 18554.117
019, 20003.672
022, 18838.955
021, 20006.328
023, 18807.756
024, 20004.602
025, 18871.486
026, 19969.947
028, 18895.578
027, 19969.121
029, 18774.650
-----------------------------------------------------------------------------------------------

