tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,   4220677, 4220677,  772.983887
001,   4063057, 4063057,  795.341736
002,   3143704, 3143704,  538.820007
003,   2514031, 2514031,  423.772949
004,   2129419, 2129419,  327.002350
005,   2091016, 2091016,  335.789764
006,   2097038, 2097038,  413.318268
007,   2071603, 2071603,  343.486786
008,   2062696, 2062696,  398.478180
009,   2093084, 2093084,  390.280823
010,   2063557, 2063557,  303.035370
011,   2067712, 2067712,  368.880310
012,   2159118, 2159118,  349.799622
013,   2072923, 2072923,  290.829315
014,   2085205, 2085205,  300.721191
015,   2062694, 2062694,  373.035400
-------------------------------------------------------------------------------------------------------

RUN 1
000,   4153293, 4153293,  772.453125
001,   4128724, 4128724,  818.850952
002,   3283289, 3283289,  565.335999
003,   2347988, 2347988,  382.147095
004,   2135299, 2135299,  335.778809
005,   2109754, 2109754,  293.781952
006,   2068822, 2068822,  333.967285
007,   2078069, 2078069,  313.952118
008,   2097592, 2097592,  293.850983
009,   2090181, 2090181,  339.881714
010,   2062811, 2062811,  400.391083
011,   2062809, 2062809,  419.943512
012,   2062808, 2062808,  403.739197
013,   2087464, 2087464,  367.524811
014,   2109617, 2109617,  318.910370
015,   2062008, 2062008,  356.586334
-------------------------------------------------------------------------------------------------------

RUN 2
000,   2264295, 2264295,  417.625275
001,   3953563, 3953563,  772.317261
002,   3308512, 3308512,  563.609558
003,   2460058, 2460058,  397.590118
004,   2109656, 2109656,  406.669189
005,   2082901, 2082901,  317.412506
006,   2058150, 2058150,  329.641266
007,   2110232, 2110232,  409.100616
008,   2056507, 2056507,  356.659729
009,   2172151, 2172151,  370.112518
010,   2060708, 2060708,  354.412445
011,   2061398, 2061398,  376.548828
012,   2056508, 2056508,  365.354614
013,   2072151, 2072151,  325.684692
014,   3854640, 3854640,  696.528931
015,   2062493, 2062493,  418.320770
-------------------------------------------------------------------------------------------------------

RUN 3
000,   2187445, 2187445,  401.142731
001,   4015226, 4015226,  777.385803
002,   2836688, 2836688,  470.974457
003,   2362167, 2362167,  400.527802
004,   2116866, 2116866,  381.938751
005,   2092859, 2092859,  307.304626
006,   2188621, 2188621,  357.655060
007,   2087959, 2087959,  411.734894
008,   2184962, 2184962,  331.256104
009,   2165476, 2165476,  362.740143
010,   2081483, 2081483,  358.007538
011,   2081524, 2081524,  358.746429
012,   2079485, 2079485,  348.173401
013,   2086546, 2086546,  389.771118
014,   4061022, 4061022,  767.209534
015,   2079485, 2079485,  316.550812
-------------------------------------------------------------------------------------------------------

RUN 4
000,   2071287, 2071287,  364.982300
001,   3935583, 3935583,  770.623169
002,   2360948, 2360948,  443.586090
003,   2342027, 2342027,  404.814972
004,   2089071, 2089071,  312.533325
005,   2114845, 2114845,  293.125916
006,   2143030, 2143030,  375.098053
007,   2098182, 2098182,  433.416321
008,   3064547, 3064547,  506.383209
009,   2098566, 2098566,  307.073242
010,   2062382, 2062382,  278.126160
011,   2113092, 2113092,  411.165283
012,   2072566, 2072566,  349.190552
013,   2062380, 2062380,  272.659882
014,   4563158, 4563158,  822.985718
015,   2062388, 2062388,  395.002136
-------------------------------------------------------------------------------------------------------

