tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_ac(ms),wait_rel(ms),array_size(B)
RUN 0
000,        16,       1,    0.001475,       0.000,    0.002513,    0.000995,             256
000,        32,       1,    0.001251,       0.000,    0.001342,    0.000634,             512
000,        64,       1,    0.001834,       0.003,    0.009405,    0.000822,            1024
000,       128,       1,    0.002423,       0.000,    0.014457,    0.000583,            2048
000,       256,       1,    0.004371,       0.000,    0.042868,    0.000679,            4096
000,       512,       1,    0.007914,       0.000,    0.110515,    0.000726,            8192
000,      1024,       1,    0.017828,       0.001,    0.015366,    0.000634,           16384
000,      2048,       1,    0.030742,       0.001,    0.540230,    0.000993,           32768
000,      4096,       1,    0.059709,       0.002,    0.725862,    0.000794,           65536
000,      8192,       1,    0.120601,       0.004,    1.041411,    0.001292,          131072
000,     16384,       1,    0.186580,       0.006,    2.553733,    0.000875,          262144
000,     32768,       1,    0.301000,       0.010,    1.055873,    0.000623,          524288
000,     65536,       1,    0.611197,       0.019,    3.807370,    0.000697,         1048576
000,    131072,       1,    0.996173,       0.036,   34.642323,    0.000763,         2097152
000,    262144,       1,    1.991093,       0.068,   39.922470,    0.001220,         4194304
000,    524288,       1,    3.961220,       0.135,  102.797699,    0.001257,         8388608
000,   1048576,       1,    7.905980,       0.261,  149.342896,    0.001980,        16777216
001,        16,       1,    0.001560,       0.000,    0.004433,    0.001053,             256
001,        32,       1,    0.001073,       0.000,    0.001980,    0.000533,             512
001,        64,       1,    0.001748,       0.000,    0.002365,    0.000640,            1024
001,       128,       1,    0.003263,       0.000,    0.000542,    0.000371,            2048
001,       256,       1,    0.004279,       0.000,    0.036823,    0.000429,            4096
001,       512,       1,    0.008119,       0.000,    0.127858,    0.000468,            8192
001,      1024,       1,    0.015428,       0.001,    0.069366,    0.000673,           16384
001,      2048,       1,    0.031091,       0.001,    0.070160,    0.001280,           32768
001,      4096,       1,    0.060543,       0.002,    0.172252,    0.000868,           65536
001,      8192,       1,    0.144954,       0.004,    0.255635,    0.000767,          131072
001,     16384,       1,    0.236525,       0.006,    0.611052,    0.000909,          262144
001,     32768,       1,    0.333687,       0.010,    4.328145,    0.000695,          524288
001,     65536,       1,    0.648678,       0.019,    4.990305,    0.000897,         1048576
001,    131072,       1,    1.284847,       0.036,   31.392593,    0.001138,         2097152
001,    262144,       1,    1.968373,       0.068,   45.930565,    0.001223,         4194304
001,    524288,       1,    3.991740,       0.135,   78.931679,    0.001270,         8388608
001,   1048576,       1,    7.970517,       0.261,  181.453079,    0.001677,        16777216
002,        16,       1,    0.001220,       0.000,    0.005367,    0.000820,             256
002,        32,       1,    0.001100,       0.000,    0.010253,    0.000500,             512
002,        64,       1,    0.001753,       0.003,    0.007093,    0.000660,            1024
002,       128,       1,    0.002580,       0.000,    0.017287,    0.000587,            2048
002,       256,       1,    0.004473,       0.000,    0.001433,    0.000367,            4096
002,       512,       1,    0.008833,       0.000,    0.027713,    0.000667,            8192
002,      1024,       1,    0.016633,       0.000,    0.094227,    0.000600,           16384
002,      2048,       1,    0.032680,       0.001,    0.346107,    0.000793,           32768
002,      4096,       1,    0.064853,       0.002,    0.346100,    0.000720,           65536
002,      8192,       1,    0.128820,       0.004,    0.400347,    0.001140,          131072
002,     16384,       1,    0.218670,       0.006,    2.738418,    0.001040,          262144
002,     32768,       1,    0.336663,       0.010,    2.638673,    0.000764,          524288
002,     65536,       1,    0.502183,       0.019,    9.211743,    0.000537,         1048576
002,    131072,       1,    0.987133,       0.036,   19.093349,    0.000680,         2097152
002,    262144,       1,    1.971073,       0.068,   49.864986,    0.000937,         4194304
002,    524288,       1,    3.939150,       0.135,  114.643227,    0.001030,         8388608
002,   1048576,       1,    8.078760,       0.261,  213.066849,    0.001463,        16777216
003,        16,       1,    0.000993,       0.000,    0.001867,    0.000570,             256
003,        32,       1,    0.000467,       0.000,    0.000713,    0.000157,             512
003,        64,       1,    0.001367,       0.003,    0.005533,    0.000773,            1024
003,       128,       1,    0.001617,       0.000,    0.003147,    0.000513,            2048
003,       256,       1,    0.003000,       0.000,    0.000577,    0.000883,            4096
003,       512,       1,    0.005697,       0.000,    0.017340,    0.000893,            8192
003,      1024,       1,    0.009007,       0.000,    0.178060,    0.000540,           16384
003,      2048,       1,    0.017513,       0.001,    0.408847,    0.000680,           32768
003,      4096,       1,    0.033693,       0.002,    0.095050,    0.000533,           65536
003,      8192,       1,    0.068470,       0.004,    0.001040,    0.000930,          131072
003,     16384,       1,    0.240053,       0.006,    0.001528,    0.000773,          262144
003,     32768,       1,    0.343345,       0.010,    4.960604,    0.000804,          524288
003,     65536,       1,    0.669092,       0.019,    6.769792,    0.001303,         1048576
003,    131072,       1,    0.985070,       0.036,   28.008087,    0.001110,         2097152
003,    262144,       1,    2.046777,       0.068,   41.913361,    0.001260,         4194304
003,    524288,       1,    4.044557,       0.135,  126.609337,    0.001203,         8388608
003,   1048576,       1,    8.347040,       0.261,  140.994980,    0.001427,        16777216
004,        16,       1,    0.000840,       0.000,    0.028912,    0.000343,             256
004,        32,       1,    0.000545,       0.000,    0.000876,    0.000185,             512
004,        64,       1,    0.001223,       0.003,    0.000692,    0.000457,            1024
004,       128,       1,    0.001924,       0.000,    0.000884,    0.000589,            2048
004,       256,       1,    0.003537,       0.000,    0.002339,    0.000829,            4096
004,       512,       1,    0.005480,       0.000,    0.018160,    0.000328,            8192
004,      1024,       1,    0.011276,       0.000,    0.076625,    0.000408,           16384
004,      2048,       1,    0.021916,       0.001,    0.000520,    0.000579,           32768
004,      4096,       1,    0.044503,       0.002,    0.001204,    0.000655,           65536
004,      8192,       1,    0.085495,       0.004,    0.067901,    0.000636,          131072
004,     16384,       1,    0.169745,       0.006,    0.241204,    0.001029,          262144
004,     32768,       1,    0.388040,       0.011,    0.001120,    0.000760,          524288
004,     65536,       1,    0.601943,       0.019,    8.614424,    0.000790,         1048576
004,    131072,       1,    0.984793,       0.036,   33.659378,    0.001060,         2097152
004,    262144,       1,    2.011337,       0.068,   53.829033,    0.001353,         4194304
004,    524288,       1,    4.055120,       0.135,  122.553772,    0.001207,         8388608
004,   1048576,       1,    7.976537,       0.261,  173.477966,    0.001680,        16777216
005,        16,       1,    0.001433,       0.000,    0.034793,    0.000967,             256
005,        32,       1,    0.000980,       0.000,    0.014773,    0.000440,             512
005,        64,       1,    0.002147,       0.003,    0.003600,    0.001033,            1024
005,       128,       1,    0.002927,       0.000,    0.007087,    0.000940,            2048
005,       256,       1,    0.004487,       0.000,    0.035700,    0.000333,            4096
005,       512,       1,    0.008733,       0.000,    0.101713,    0.000933,            8192
005,      1024,       1,    0.019047,       0.001,    0.033313,    0.001340,           16384
005,      2048,       1,    0.155140,       0.001,    0.190833,    0.000873,           32768
005,      4096,       1,    0.064307,       0.002,    0.840047,    0.001140,           65536
005,      8192,       1,    0.229833,       0.004,    1.496627,    0.001213,          131072
005,     16384,       1,    0.256653,       0.006,    2.098667,    0.000947,          262144
005,     32768,       1,    0.317444,       0.010,    1.353482,    0.001343,          524288
005,     65536,       1,    0.633403,       0.019,    0.696421,    0.000952,         1048576
005,    131072,       1,    1.077263,       0.036,   21.255760,    0.001010,         2097152
005,    262144,       1,    1.997950,       0.068,   37.925419,    0.001103,         4194304
005,    524288,       1,    3.939407,       0.135,  130.628830,    0.001110,         8388608
005,   1048576,       1,    8.025463,       0.261,  132.969620,    0.001890,        16777216
006,        16,       1,    0.000637,       0.000,    0.003883,    0.000410,             256
006,        32,       1,    0.000740,       0.000,    0.001467,    0.000377,             512
006,        64,       1,    0.001025,       0.003,    0.009851,    0.000288,            1024
006,       128,       1,    0.001692,       0.000,    0.002583,    0.000341,            2048
006,       256,       1,    0.003232,       0.000,    0.011503,    0.000448,            4096
006,       512,       1,    0.005619,       0.000,    0.036387,    0.000436,            8192
006,      1024,       1,    0.011055,       0.000,    0.087564,    0.000427,           16384
006,      2048,       1,    0.022579,       0.001,    0.021585,    0.000592,           32768
006,      4096,       1,    0.043840,       0.002,    0.128463,    0.000783,           65536
006,      8192,       1,    0.084343,       0.004,    1.684473,    0.000863,          131072
006,     16384,       1,    0.171324,       0.006,    1.933352,    0.000724,          262144
006,     32768,       1,    0.338288,       0.010,    0.387648,    0.000640,          524288
006,     65536,       1,    0.696548,       0.019,    0.001044,    0.000977,         1048576
006,    131072,       1,    1.455558,       0.036,   23.408527,    0.001554,         2097152
006,    262144,       1,    1.986390,       0.068,   35.940033,    0.001053,         4194304
006,    524288,       1,    3.970503,       0.135,  118.583496,    0.001367,         8388608
006,   1048576,       1,    8.333393,       0.261,  157.247711,    0.002023,        16777216
007,        16,       1,    0.001600,       0.000,    0.006087,    0.001087,             256
007,        32,       1,    0.001173,       0.000,    0.002033,    0.000633,             512
007,        64,       1,    0.001693,       0.003,    0.008473,    0.000587,            1024
007,       128,       1,    0.002427,       0.000,    0.016813,    0.000440,            2048
007,       256,       1,    0.005780,       0.000,    0.031127,    0.000620,            4096
007,       512,       1,    0.008767,       0.000,    0.087713,    0.000587,            8192
007,      1024,       1,    0.016327,       0.000,    0.150647,    0.000453,           16384
007,      2048,       1,    0.033633,       0.001,    0.450067,    0.001013,           32768
007,      4096,       1,    0.064593,       0.002,    0.532007,    0.000727,           65536
007,      8192,       1,    0.128100,       0.004,    0.529080,    0.001273,          131072
007,     16384,       1,    0.201605,       0.006,    2.356132,    0.000735,          262144
007,     32768,       1,    0.322787,       0.010,    1.671057,    0.000846,          524288
007,     65536,       1,    0.610030,       0.019,    8.016967,    0.000537,         1048576
007,    131072,       1,    0.984750,       0.036,   32.676315,    0.001077,         2097152
007,    262144,       1,    1.976497,       0.068,   43.953613,    0.001057,         4194304
007,    524288,       1,    3.950807,       0.135,   74.981262,    0.001003,         8388608
