tid,lock_impl_time(ms)
RUN 0
001,    93.673
-----------------------------------------------------------------------------------------------

RUN 1
001,    85.276
-----------------------------------------------------------------------------------------------

RUN 2
001,    85.040
-----------------------------------------------------------------------------------------------

RUN 3
001,    91.761
-----------------------------------------------------------------------------------------------

RUN 4
001,    97.241
-----------------------------------------------------------------------------------------------

