lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0001022,0000181,0001002,0001953,0002585,0002004,0000009,001024,000,000,00000008,01,001,002,016,016
0000000,0001141,0000581,0001005,0002645,0003617,0002896,0000149,001024,000,000,00000008,01,001,002,016,016
0000000,0001014,0000180,0001002,0002004,0002625,0002064,0000009,001024,000,001,00000008,01,001,002,016,016
0000000,0001155,0000561,0001004,0002675,0003657,0002906,0000165,001024,000,001,00000008,01,001,002,016,016
0000000,0001022,0000181,0001002,0001944,0002585,0002004,0000009,001024,000,002,00000008,01,001,002,016,016
0000000,0001139,0000581,0001005,0002635,0003607,0002915,0000147,001024,000,002,00000008,01,001,002,016,016
0000000,0000181,0000160,0001002,0002104,0002635,0002155,0000010,001024,000,000,00000128,01,001,002,016,016
0000000,0001040,0000461,0001006,0002916,0003676,0002995,0000046,001024,000,000,00000128,01,001,002,016,016
0000000,0000181,0000161,0001002,0002104,0002635,0002154,0000010,001024,000,001,00000128,01,001,002,016,016
0000000,0001045,0000471,0001006,0002916,0003677,0002995,0000050,001024,000,001,00000128,01,001,002,016,016
0000000,0000181,0000161,0001002,0002104,0002635,0002154,0000010,001024,000,002,00000128,01,001,002,016,016
0000000,0001045,0000471,0001006,0002935,0003677,0002996,0000051,001024,000,002,00000128,01,001,002,016,016
0000000,0000171,0000030,0001002,0002124,0002645,0002154,0000010,001024,000,000,00001024,01,001,002,016,016
0000000,0001033,0000410,0001007,0002986,0003707,0003006,0000038,001024,000,000,00001024,01,001,002,016,016
0000000,0000171,0000030,0001002,0002124,0002655,0002154,0000010,001024,000,001,00001024,01,001,002,016,016
0000000,0001031,0000401,0001006,0002986,0003706,0003016,0000037,001024,000,001,00001024,01,001,002,016,016
0000000,0000171,0000030,0001002,0002124,0002645,0002164,0000010,001024,000,002,00001024,01,001,002,016,016
0000000,0001030,0000401,0001006,0002985,0003697,0003015,0000037,001024,000,002,00001024,01,001,002,016,016
0000000,0001006,0000170,0001013,0002304,0002805,0002314,0000009,001024,000,000,00000008,01,004,002,016,016
0000000,0001580,0000521,0001100,0005480,0006542,0005680,0000593,001024,000,000,00000008,01,004,002,016,016
