lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0004048,0000241,0000051,0001003,0002815,0003257,0003256,0000000,001024,000,000,0512
0006983,0007695,0000481,0001135,0004058,0004819,0004920,0000000,001024,000,000,0512
0006523,0000271,0000051,0001005,0005189,0006182,0005721,0000000,001024,001,000,0512
0010880,0009501,0000511,0001260,0008757,0009808,0009638,0000000,001024,001,000,0512
0006041,0000291,0000070,0001005,0004950,0005600,0005300,0000000,001024,002,000,0512
0007754,0009277,0000501,0001251,0006131,0006933,0006512,0000000,001024,002,000,0512
0006522,0000271,0000060,0001005,0005180,0005731,0005730,0000000,001024,003,000,0512
0009608,0010156,0000511,0001263,0006943,0007795,0007694,0000000,001024,003,000,0512
0004739,0000260,0000060,0001003,0003186,0004408,0003868,0000000,001024,000,001,0512
0008967,0006746,0000451,0001166,0007203,0008386,0008375,0000000,001024,000,001,0512
0007093,0000250,0000050,0001005,0005180,0006281,0005731,0000000,001024,001,001,0512
0010510,0010058,0000521,0001234,0007093,0009237,0007745,0000000,001024,001,001,0512
0006593,0000291,0000070,0001005,0004940,0006161,0005309,0000000,001024,002,001,0512
0009609,0011277,0000501,0001338,0006182,0008997,0006543,0000000,001024,002,001,0512
0007083,0000271,0000051,0001005,0005180,0006272,0005721,0000000,001024,003,001,0512
0010670,0010125,0000521,0001234,0007183,0009378,0007734,0000000,001024,003,001,0512
0004759,0000220,0000050,0001003,0003216,0004429,0003917,0000000,001024,000,002,0512
0009007,0006642,0000431,0001166,0007273,0008506,0008537,0000000,001024,000,002,0512
0007103,0000250,0000051,0001005,0005180,0006292,0005730,0000000,001024,001,002,0512
0010650,0010187,0000501,0001239,0007484,0009348,0007825,0000000,001024,001,002,0512
0006622,0000311,0000070,0001005,0004959,0006191,0005320,0000000,001024,002,002,0512
0009558,0011149,0000521,0001336,0006122,0008987,0006612,0000000,001024,002,002,0512
0007093,0000280,0000051,0001005,0005180,0006282,0005721,0000000,001024,003,002,0512
0010660,0009602,0000511,0001241,0007173,0009368,0007885,0000000,001024,003,002,0512
