tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,    218519,  218519,   12.355657
-------------------------------------------------------------------------------------------------------

RUN 1
000,    211012,  211012,   12.243194
-------------------------------------------------------------------------------------------------------

RUN 2
000,    211124,  211124,   11.831980
-------------------------------------------------------------------------------------------------------

RUN 3
000,    212862,  212862,   11.825020
-------------------------------------------------------------------------------------------------------

RUN 4
000,    211409,  211409,   11.917065
-------------------------------------------------------------------------------------------------------

