tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
013,    722944,   11296,  539.687256,   30.000000,21960.015625,  537.281860,21096.261719,    3.999381,  861.064148,  531.434387,        16777216,000,000
013,    720896,   11264,  543.465881,   30.000000,21957.001953,  541.146667,21111.580078,    3.708258,  842.831665,  535.671753,       134217728,000,000
014,    716096,   11189,  532.118408,   30.000000,21968.822266,  529.879944,21108.835938,    3.848713,  857.521301,  524.067444,          262144,000,000
014,    722880,   11295,  557.067139,   30.000000,21942.425781,  554.643677,21065.851562,    4.206756,  874.067139,  548.435913,        16777216,000,000
014,    720832,   11263,  535.470947,   30.000000,21964.431641,  532.988281,21120.125000,    4.061893,  841.762390,  526.990784,       134217728,000,000
015,    716096,   11189,  564.213745,   30.000000,21936.839844,  561.935303,21079.767578,    4.044739,  854.674316,  556.088135,          262144,000,000
015,    722880,   11295,  533.851379,   30.000000,21965.650391,  531.563110,21119.556641,    3.892297,  843.694885,  525.790894,        16777216,000,000
015,    720896,   11264,  545.781067,   30.000000,21954.400391,  543.560181,21128.435547,    3.817457,  823.585266,  537.953430,       134217728,000,000
016,        64,       1,    0.033191,   30.000000,22505.292969,    0.032953,22505.230469,    0.000449,    0.062542,    0.032285,          262144,000,000
016,        64,       1,    0.029562,   30.000000,22506.255859,    0.029352,22506.214844,    0.000353,    0.040457,    0.028878,        16777216,000,000
016,        64,       1,    0.029731,   30.000000,22503.330078,    0.029537,22503.289062,    0.000339,    0.040635,    0.029077,       134217728,000,000
017,        64,       1,    0.030404,   30.000000,22505.457031,    0.030200,22505.408203,    0.000409,    0.048915,    0.029569,          262144,000,000
017,        64,       1,    0.034859,   30.000000,22506.177734,    0.034645,22506.130859,    0.000376,    0.046819,    0.034132,        16777216,000,000
017,        64,       1,    0.033157,   30.000000,22503.251953,    0.032935,22503.201172,    0.000371,    0.050219,    0.032443,       134217728,000,000
018,        64,       1,    0.035513,   30.000000,22504.542969,    0.035274,22504.492188,    0.000513,    0.051525,    0.034570,          262144,000,000
018,        64,       1,    0.033252,   30.000000,22505.867188,    0.033031,22505.818359,    0.000364,    0.049198,    0.032530,        16777216,000,000
018,        64,       1,    0.035587,   30.000000,22503.408203,    0.035363,22503.363281,    0.000376,    0.047692,    0.034864,       134217728,000,000
019,        64,       1,    0.040739,   30.000000,22504.253906,    0.040350,22504.162109,    0.000741,    0.091043,    0.039427,          262144,000,000
019,        64,       1,    0.030300,   30.000000,22506.470703,    0.030109,22506.431641,    0.000328,    0.040008,    0.029669,        16777216,000,000
019,        64,       1,    0.057658,   30.000000,22502.287109,    0.057212,22502.167969,    0.000386,    0.121033,    0.056738,       134217728,000,000
020,        64,       1,    0.030930,   30.000000,22504.908203,    0.030653,22504.863281,    0.000398,    0.045537,    0.030090,          262144,000,000
020,        64,       1,    0.033903,   30.000000,22505.554688,    0.033693,22505.509766,    0.000348,    0.045121,    0.033182,        16777216,000,000
020,        64,       1,    0.032711,   30.000000,22502.623047,    0.032518,22502.576172,    0.000384,    0.047070,    0.032005,       134217728,000,000
021,        64,       1,    0.033475,   30.000000,22504.355469,    0.033202,22504.296875,    0.000578,    0.059115,    0.032447,          262144,000,000
021,        64,       1,    0.030009,   30.000000,22505.630859,    0.029818,22505.589844,    0.000338,    0.039201,    0.029382,        16777216,000,000
021,        64,       1,    0.029114,   30.000000,22502.697266,    0.028929,22502.658203,    0.000294,    0.040201,    0.028523,       134217728,000,000
022,        64,       1,    0.029906,   30.000000,22504.730469,    0.029700,22504.685547,    0.000417,    0.043940,    0.029113,          262144,000,000
022,        64,       1,    0.033305,   30.000000,22505.408203,    0.033081,22505.353516,    0.000401,    0.051940,    0.032517,        16777216,000,000
022,        64,       1,    0.029197,   30.000000,22502.548828,    0.028985,22502.507812,    0.000340,    0.038309,    0.028537,       134217728,000,000
023,        64,       1,    0.033167,   30.000000,22504.458984,    0.032962,22504.398438,    0.000459,    0.057842,    0.032327,          262144,000,000
023,        64,       1,    0.029401,   30.000000,22505.480469,    0.029209,22505.441406,    0.000338,    0.039645,    0.028747,        16777216,000,000
023,        64,       1,    0.031483,   30.000000,22502.396484,    0.031257,22502.349609,    0.000387,    0.049996,    0.030720,       134217728,000,000
024,        64,       1,    0.029798,   30.000000,22505.197266,    0.029588,22505.150391,    0.000359,    0.048769,    0.029043,          262144,000,000
024,        64,       1,    0.029778,   30.000000,22506.099609,    0.029570,22506.058594,    0.000336,    0.039950,    0.029092,        16777216,000,000
024,        64,       1,    0.033549,   30.000000,22502.474609,    0.033340,22502.427734,    0.000343,    0.046817,    0.032871,       134217728,000,000
025,        64,       1,    0.032641,   30.000000,22504.644531,    0.032429,22504.587891,    0.000433,    0.056549,    0.031836,          262144,000,000
