tid,lock_impl_time(ms)
RUN 0
001,    76.622
-----------------------------------------------------------------------------------------------

RUN 1
001,    77.231
-----------------------------------------------------------------------------------------------

RUN 2
001,    77.950
-----------------------------------------------------------------------------------------------

RUN 3
001,    77.226
-----------------------------------------------------------------------------------------------

RUN 4
001,    77.332
-----------------------------------------------------------------------------------------------

