tid,lock_impl_time(ms)
RUN 0
001,    67.420
-----------------------------------------------------------------------------------------------

RUN 1
001,    67.757
-----------------------------------------------------------------------------------------------

RUN 2
001,    67.933
-----------------------------------------------------------------------------------------------

RUN 3
001,    69.993
-----------------------------------------------------------------------------------------------

RUN 4
001,    69.832
-----------------------------------------------------------------------------------------------

