lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,pinning
0000000,0000421,0000100,0001018,0022092,0018565,0022653,0000075,001024,000,000,0016,01
0000000,0001956,0000420,0001962,0035377,0036228,0035867,0001229,001024,000,000,0016,01
0000000,0000481,0000070,0001006,0005310,0011381,0005360,0000025,001024,001,000,0016,01
0000000,0001707,0000611,0001645,0017823,0029716,0017553,0000855,001024,001,000,0016,01
0000000,0000601,0000070,0001006,0005340,0011301,0005380,0000026,001024,002,000,0016,01
0000000,0001706,0000771,0001651,0017914,0029796,0017663,0000855,001024,002,000,0016,01
0000000,0000411,0000080,0001014,0014207,0015049,0015219,0000052,001024,003,000,0016,01
0000000,0001992,0000440,0001938,0029786,0033403,0031129,0001216,001024,003,000,0016,01
0000000,0000410,0000070,0001014,0019517,0015830,0020268,0000060,001024,000,001,0016,01
0000000,0002721,0000421,0002404,0034605,0033593,0035206,0001740,001024,000,001,0016,01
0000000,0000411,0000060,0001005,0005260,0009989,0005310,0000023,001024,001,001,0016,01
0000000,0002705,0000471,0001941,0013516,0028613,0013966,0001612,001024,001,001,0016,01
0000000,0000391,0000060,0001005,0005290,0009969,0005330,0000024,001024,002,001,0016,01
0000000,0002765,0000461,0001971,0014167,0028624,0014256,0001670,001024,002,001,0016,01
0000000,0000401,0000060,0001012,0011882,0014717,0012904,0000040,001024,003,001,0016,01
0000000,0003281,0000431,0002407,0029596,0031529,0031680,0002178,001024,003,001,0016,01
0000000,0000301,0000050,0001015,0025017,0021670,0025388,0000076,001024,000,000,0128,01
0000000,0001273,0000401,0001291,0040286,0042871,0040767,0000510,001024,000,000,0128,01
0000000,0000311,0000050,0001005,0005500,0012152,0005551,0000023,001024,001,000,0128,01
0000000,0001180,0000431,0001194,0023824,0033754,0023374,0000312,001024,001,000,0128,01
0000000,0000310,0000050,0001005,0005550,0011983,0005591,0000024,001024,002,000,0128,01
0000000,0001154,0000481,0001188,0023855,0033773,0023464,0000265,001024,002,000,0128,01
0000000,0000310,0000050,0001013,0019567,0016942,0020568,0000051,001024,003,000,0128,01
0000000,0001245,0000431,0001268,0039765,0040116,0040466,0000447,001024,003,000,0128,01
0000000,0000310,0000050,0001014,0023714,0020980,0024265,0000070,001024,000,001,0128,01
0000000,0001533,0000401,0001461,0038953,0041218,0039634,0000836,001024,000,001,0128,01
0000000,0000310,0000050,0001005,0005450,0013135,0005500,0000021,001024,001,001,0128,01
0000000,0001371,0000391,0001272,0022212,0033042,0022122,0000509,001024,001,001,0128,01
0000000,0000310,0000050,0001005,0005490,0013154,0005540,0000023,001024,002,001,0128,01
0000000,0001372,0000411,0001281,0022262,0033162,0022061,0000509,001024,002,001,0128,01
0000000,0000310,0000050,0001012,0018555,0017603,0019596,0000047,001024,003,001,0128,01
0000000,0001583,0000421,0001436,0037521,0038462,0038502,0000771,001024,003,001,0128,01
