tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
006,00000000,00395536,020,00191211,00007244,00007094,001024,000,002,00016384,00198455
007,00000000,00394206,020,00191037,00007368,00007213,001024,000,002,00016384,00198405
008,00000000,00394812,020,00191376,00007237,00007104,001024,000,002,00016384,00198613
009,00000000,00395090,020,00191247,00007232,00007089,001024,000,002,00016384,00198479
010,00000000,00395429,020,00191204,00007316,00007164,001024,000,002,00016384,00198520
011,00000000,00395186,020,00191236,00007234,00007109,001024,000,002,00016384,00198470
012,00000000,00395745,020,00191238,00007350,00007185,001024,000,002,00016384,00198588
013,00000000,00394108,020,00191163,00007180,00007038,001024,000,002,00016384,00198343
014,00000000,00394926,020,00191362,00007264,00007120,001024,000,002,00016384,00198626
015,00000000,00394641,020,00191074,00007210,00007089,001024,000,002,00016384,00198283
016,00000000,00393791,020,00191428,00007247,00007124,001024,000,002,00016384,00198675
017,00000000,00394803,020,00191337,00007196,00007054,001024,000,002,00016384,00198533
018,00000000,00394550,020,00191051,00007185,00007056,001024,000,002,00016384,00198236
019,00000000,00394841,020,00191094,00007232,00007083,001024,000,002,00016384,00198326
020,00000000,00394888,020,00191020,00007327,00007185,001024,000,002,00016384,00198347
021,00000000,00394448,020,00191134,00007257,00007118,001024,000,002,00016384,00198391
022,00000000,00394931,020,00191155,00007196,00007049,001024,000,002,00016384,00198351
023,00000000,00395303,020,00191047,00007496,00007361,001024,000,002,00016384,00198543
024,00000000,00394287,020,00191077,00007258,00007130,001024,000,002,00016384,00198335
025,00000000,00395025,020,00191086,00007106,00006948,001024,000,002,00016384,00198192
026,00000000,00394967,020,00191067,00007329,00007185,001024,000,002,00016384,00198396
027,00000000,00395307,020,00191226,00007316,00007157,001024,000,002,00016384,00198542
028,00000000,00394607,020,00190964,00007421,00007284,001024,000,002,00016384,00198385
029,00000000,00394769,020,00191043,00007330,00007195,001024,000,002,00016384,00198373
030,00000000,00395191,020,00191277,00007378,00007229,001024,000,002,00016384,00198655
031,00000000,00394900,020,00191075,00007365,00007220,001024,000,002,00016384,00198440
