tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
006,00000000,00398055,020,00280779,00000000,00000000,001024,002,000,00016384,00200869
007,00000000,00396477,020,00278736,00000000,00000000,001024,002,000,00016384,00199488
008,00000000,00400762,020,00283037,00000000,00000000,001024,002,000,00016384,00201500
009,00000000,00395477,020,00279434,00000000,00000000,001024,002,000,00016384,00198965
010,00000000,00398969,020,00279982,00000000,00000000,001024,002,000,00016384,00200326
011,00000000,00401763,020,00282617,00000000,00000000,001024,002,000,00016384,00202380
012,00000000,00399604,020,00282127,00000000,00000000,001024,002,000,00016384,00201578
013,00000000,00395199,020,00278131,00000000,00000000,001024,002,000,00016384,00198736
014,00000000,00397466,020,00280080,00000000,00000000,001024,002,000,00016384,00199571
015,00000000,00394080,020,00279492,00000000,00000000,001024,002,000,00016384,00198641
016,00000000,00397182,020,00280005,00000000,00000000,001024,002,000,00016384,00200001
017,00000000,00398824,020,00280173,00000000,00000000,001024,002,000,00016384,00200540
018,00000000,00398096,020,00280667,00000000,00000000,001024,002,000,00016384,00200150
019,00000000,00397047,020,00279714,00000000,00000000,001024,002,000,00016384,00199713
020,00000000,00395733,020,00279763,00000000,00000000,001024,002,000,00016384,00199026
021,00000000,00402074,020,00283108,00000000,00000000,001024,002,000,00016384,00202608
022,00000000,00396794,020,00280651,00000000,00000000,001024,002,000,00016384,00199519
023,00000000,00395704,020,00280090,00000000,00000000,001024,002,000,00016384,00199668
024,00000000,00395708,020,00279325,00000000,00000000,001024,002,000,00016384,00199335
025,00000000,00395205,020,00278547,00000000,00000000,001024,002,000,00016384,00199066
026,00000000,00396184,020,00281281,00000000,00000000,001024,002,000,00016384,00199898
027,00000000,00393886,020,00278939,00000000,00000000,001024,002,000,00016384,00197756
028,00000000,00399940,020,00280691,00000000,00000000,001024,002,000,00016384,00201493
029,00000000,00398285,020,00280111,00000000,00000000,001024,002,000,00016384,00200228
030,00000000,00398712,020,00280018,00000000,00000000,001024,002,000,00016384,00200182
031,00000000,00401640,020,00282372,00000000,00000000,001024,002,000,00016384,00201844
000,00000000,00375773,020,00257077,00000000,00000000,001024,000,001,00016384,00189655
001,00000000,00374228,020,00252921,00000000,00000000,001024,000,001,00016384,00188120
002,00000000,00374856,020,00255024,00000000,00000000,001024,000,001,00016384,00189054
003,00000000,00370875,020,00253333,00000000,00000000,001024,000,001,00016384,00186679
004,00000000,00373640,020,00254650,00000000,00000000,001024,000,001,00016384,00188602
005,00000000,00375657,020,00255229,00000000,00000000,001024,000,001,00016384,00189004
006,00000000,00371924,020,00251433,00000000,00000000,001024,000,001,00016384,00186793
007,00000000,00374929,020,00254965,00000000,00000000,001024,000,001,00016384,00188757
008,00000000,00374666,020,00253428,00000000,00000000,001024,000,001,00016384,00188828
009,00000000,00374808,020,00253628,00000000,00000000,001024,000,001,00016384,00188340
010,00000000,00373744,020,00254080,00000000,00000000,001024,000,001,00016384,00188309
011,00000000,00373383,020,00254094,00000000,00000000,001024,000,001,00016384,00187973
012,00000000,00372767,020,00253275,00000000,00000000,001024,000,001,00016384,00187270
013,00000000,00369959,020,00254021,00000000,00000000,001024,000,001,00016384,00186756
014,00000000,00373946,020,00254576,00000000,00000000,001024,000,001,00016384,00187819
015,00000000,00373196,020,00253841,00000000,00000000,001024,000,001,00016384,00188034
016,00000000,00370180,020,00252771,00000000,00000000,001024,000,001,00016384,00186217
017,00000000,00364505,020,00249477,00000000,00000000,001024,000,001,00016384,00183427
018,00000000,00369986,020,00251971,00000000,00000000,001024,000,001,00016384,00186378
019,00000000,00372384,020,00253748,00000000,00000000,001024,000,001,00016384,00187947
020,00000000,00369110,020,00252355,00000000,00000000,001024,000,001,00016384,00185971
021,00000000,00373074,020,00252938,00000000,00000000,001024,000,001,00016384,00187881
022,00000000,00367120,020,00251405,00000000,00000000,001024,000,001,00016384,00185395
