tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000, 161354222,161354222, 6462.704590
-------------------------------------------------------------------------------------------------------

RUN 1
000, 161307787,161307787, 6462.142578
-------------------------------------------------------------------------------------------------------

RUN 2
000, 161331080,161331080, 6463.487793
-------------------------------------------------------------------------------------------------------

RUN 3
000, 161339744,161339744, 6462.957520
-------------------------------------------------------------------------------------------------------

RUN 4
000, 161328775,161328775, 6462.665527
-------------------------------------------------------------------------------------------------------

