0000000,0000531,0000080,0001006,0005861,0007074,0013756,0000013,001024,000,000,16384
0000000,0019954,0000471,0001108,0013365,0014438,0025669,0004792,001024,000,000,16384
0000000,0000571,0000090,0001006,0005110,0006693,0012423,0000013,001024,001,000,16384
0000000,0019756,0000601,0001110,0006893,0012624,0018585,0004732,001024,001,000,16384
0000000,0000531,0000080,0001007,0006973,0007985,0015800,0000017,001024,002,000,16384
0000000,0010320,0000461,0001096,0014837,0014978,0027261,0002430,001024,002,000,16384
0000000,0000541,0000080,0001006,0005982,0007174,0013987,0000015,001024,000,001,16384
0000000,0020045,0000501,0001107,0013235,0014407,0025368,0004816,001024,000,001,16384
0000000,0000591,0000090,0001006,0005110,0006753,0012484,0000013,001024,001,001,16384
0000000,0019753,0000771,0001111,0006983,0012653,0018655,0004733,001024,001,001,16384
0000000,0000531,0000080,0001007,0006973,0008015,0015839,0000017,001024,002,001,16384
0000000,0010321,0000511,0001096,0014858,0014928,0027292,0002444,001024,002,001,16384
0000000,0000541,0000080,0001006,0005991,0007194,0014016,0000015,001024,000,002,16384
0000000,0020076,0000551,0001108,0013635,0014667,0025989,0004823,001024,000,002,16384
0000000,0000571,0000081,0001006,0005119,0006813,0012543,0000013,001024,001,002,16384
0000000,0019723,0000802,0001110,0006954,0012614,0018555,0004725,001024,001,002,16384
0000000,0000521,0000080,0001007,0006983,0008095,0015930,0000017,001024,002,002,16384
0000000,0010321,0000511,0001096,0014888,0015039,0027562,0004676,001024,002,002,16384
