tid,lock_impl_time(ms)
RUN 0
001,   102.280
-----------------------------------------------------------------------------------------------

RUN 1
001,   120.884
-----------------------------------------------------------------------------------------------

RUN 2
001,   126.416
-----------------------------------------------------------------------------------------------

RUN 3
001,    95.930
-----------------------------------------------------------------------------------------------

RUN 4
001,    99.546
-----------------------------------------------------------------------------------------------

