tid,lock_impl_time(ms)
RUN 0
001,    55.318
-----------------------------------------------------------------------------------------------

RUN 1
001,    52.775
-----------------------------------------------------------------------------------------------

RUN 2
001,    48.437
-----------------------------------------------------------------------------------------------

RUN 3
001,    47.261
-----------------------------------------------------------------------------------------------

RUN 4
001,    66.417
-----------------------------------------------------------------------------------------------

