tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
002,         0,       0,    0.000007,    0.000000,    0.394934,    0.027952,    0.363865,    0.000101,    0.030998,    0.027776,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.402541,    0.028054,    0.373222,    0.000123,    0.029251,    0.027805,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.402826,    0.027889,    0.373807,    0.000123,    0.028955,    0.027689,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.404248,    0.028013,    0.374775,    0.000125,    0.029402,    0.027808,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.402719,    0.027790,    0.373799,    0.000129,    0.028851,    0.027583,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    3.766634,    0.027799,    3.735716,    0.000250,    0.030798,    0.027464,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.417489,    0.027423,    0.388257,    0.000120,    0.029162,    0.027231,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.433929,    0.027644,    0.403886,    0.000143,    0.029964,    0.027420,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.409867,    0.027581,    0.380586,    0.000129,    0.029210,    0.027375,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.405935,    0.027525,    0.376450,    0.000125,    0.029414,    0.027280,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.410073,    0.027329,    0.380624,    0.000121,    0.029380,    0.027137,         0,               0,000,000
002,         0,       0,    0.000010,    0.000000,    0.423823,    0.027217,    0.394505,    0.000127,    0.029248,    0.027013,         0,               0,000,000
002,         0,       0,    0.000007,    0.000000,    0.408955,    0.027264,    0.379626,    0.000269,    0.029265,    0.026918,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    6.420805,    0.026461,    6.381620,    0.000252,    0.038909,    0.026028,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.466198,    0.024409,    0.439411,    0.000112,    0.026711,    0.024230,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.400477,    0.024691,    0.374610,    0.000103,    0.025763,    0.024523,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.394285,    0.024548,    0.368209,    0.000098,    0.025947,    0.024385,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.394472,    0.024646,    0.368857,    0.000091,    0.025547,    0.024487,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.418136,    0.024288,    0.392607,    0.000113,    0.025460,    0.024107,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.391501,    0.024587,    0.365951,    0.000110,    0.025487,    0.024408,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.389276,    0.024703,    0.363578,    0.000103,    0.025633,    0.024470,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.401603,    0.024855,    0.374866,    0.000113,    0.026627,    0.024676,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.410058,    0.025262,    0.383659,    0.000096,    0.026338,    0.025100,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.407865,    0.024822,    0.381454,    0.000081,    0.026342,    0.024664,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.405713,    0.024691,    0.379259,    0.000089,    0.026328,    0.024528,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.402490,    0.024809,    0.375909,    0.000099,    0.026504,    0.024641,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    3.781547,    0.025463,    3.754179,    0.000104,    0.027290,    0.025290,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.434129,    0.025686,    0.406854,    0.000103,    0.027159,    0.025506,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.418471,    0.026022,    0.391167,    0.000110,    0.027184,    0.025788,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.407277,    0.025822,    0.380902,    0.000104,    0.026257,    0.025641,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.405974,    0.025503,    0.379250,    0.000097,    0.026651,    0.025327,         0,               0,000,000
003,         0,       0,    0.000010,    0.000000,    0.432711,    0.025568,    0.406232,    0.000104,    0.026408,    0.025394,         0,               0,000,000
003,         0,       0,    0.000007,    0.000000,    0.408967,    0.025330,    0.382110,    0.000083,    0.026740,    0.025179,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.204222,    0.046180,    0.149562,    0.000267,    0.054438,    0.045769,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    6.555585,    0.024969,    6.529562,    0.000131,    0.025953,    0.024778,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.406045,    0.024570,    0.380533,    0.000105,    0.025387,    0.024412,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.394648,    0.024415,    0.369786,    0.000103,    0.024802,    0.024259,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.395695,    0.024390,    0.370775,    0.000093,    0.024868,    0.024244,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.417150,    0.024563,    0.392417,    0.000093,    0.024673,    0.024415,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.392305,    0.024490,    0.367518,    0.000097,    0.024734,    0.024286,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.389111,    0.024547,    0.364146,    0.000091,    0.024914,    0.024402,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.399083,    0.024938,    0.374017,    0.000094,    0.025006,    0.024779,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.410596,    0.025034,    0.384277,    0.000105,    0.026246,    0.024864,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.407243,    0.025320,    0.381670,    0.000093,    0.025459,    0.025174,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.404419,    0.024944,    0.378976,    0.000089,    0.025391,    0.024804,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.404194,    0.024797,    0.378833,    0.000083,    0.025303,    0.024661,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    3.777004,    0.025314,    3.750791,    0.000099,    0.026153,    0.025166,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.433681,    0.025098,    0.408193,    0.000095,    0.025436,    0.024887,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.421292,    0.025342,    0.394400,    0.000103,    0.026784,    0.025177,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.408473,    0.025209,    0.382866,    0.000096,    0.025548,    0.025059,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.406729,    0.025287,    0.381052,    0.000093,    0.025618,    0.025139,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.433996,    0.024917,    0.408323,    0.000100,    0.025564,    0.024765,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.408091,    0.024889,    0.382260,    0.000095,    0.025770,    0.024741,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    6.491359,    0.026330,    6.447620,    0.000281,    0.043422,    0.025921,         0,               0,000,000
005,         0,       0,    0.000012,    0.000000,    0.452657,    0.026531,    0.420637,    0.000163,    0.031864,    0.026286,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.397877,    0.025246,    0.366629,    0.000156,    0.031124,    0.024969,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.391454,    0.024682,    0.362307,    0.000141,    0.029040,    0.024474,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.394428,    0.046927,    0.365288,    0.000147,    0.029025,    0.046706,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.395525,    0.024449,    0.366383,    0.000144,    0.029025,    0.024185,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.391359,    0.025956,    0.362438,    0.000152,    0.028795,    0.025721,         0,               0,000,000
005,         0,       0,    0.000011,    0.000000,    0.389280,    0.027326,    0.359077,    0.000133,    0.030083,    0.027120,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.401532,    0.025709,    0.369029,    0.000151,    0.032384,    0.025488,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.407308,    0.025847,    0.377087,    0.000148,    0.030042,    0.025627,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.406274,    0.025288,    0.376613,    0.000127,    0.029557,    0.025089,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.405399,    0.026604,    0.375436,    0.000137,    0.029855,    0.026375,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.400625,    0.026260,    0.370738,    0.000139,    0.029766,    0.026039,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    3.781329,    0.028343,    3.750855,    0.000292,    0.030358,    0.027881,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.433447,    0.026531,    0.401024,    0.000156,    0.032282,    0.026300,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.414489,    0.025798,    0.385482,    0.000132,    0.028897,    0.025592,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.407564,    0.025547,    0.378324,    0.000136,    0.029174,    0.025337,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.406861,    0.029010,    0.376644,    0.000148,    0.030086,    0.028771,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.428351,    0.025339,    0.399131,    0.000129,    0.029122,    0.025139,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.408713,    0.026967,    0.379730,    0.000141,    0.028868,    0.026750,         0,               0,000,000
006,         0,       0,    0.000060,    0.000000,    6.554939,    0.026527,    6.516566,    0.000271,    0.038130,    0.026124,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.439482,    0.024165,    0.414270,    0.000090,    0.025142,    0.024006,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    0.398048,    0.024083,    0.373733,    0.000096,    0.024251,    0.023924,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.392518,    0.024022,    0.367759,    0.000116,    0.024699,    0.023843,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    0.416906,    0.024228,    0.392581,    0.000088,    0.024264,    0.024021,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    0.396056,    0.023886,    0.371374,    0.000095,    0.024619,    0.023721,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.393085,    0.023740,    0.368788,    0.000084,    0.024236,    0.023597,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.392883,    0.023973,    0.368575,    0.000084,    0.024255,    0.023822,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    0.404657,    0.024759,    0.378972,    0.000099,    0.025552,    0.024598,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.407947,    0.024959,    0.382698,    0.000099,    0.025192,    0.024797,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.406335,    0.024749,    0.381349,    0.000080,    0.024931,    0.024608,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    0.407294,    0.024849,    0.382255,    0.000083,    0.024983,    0.024697,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.401967,    0.024674,    0.377008,    0.000091,    0.024904,    0.024462,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    3.786110,    0.024866,    3.759967,    0.000095,    0.026078,    0.024702,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    0.434715,    0.024976,    0.409065,    0.000101,    0.025582,    0.024810,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.414995,    0.025126,    0.389657,    0.000087,    0.025284,    0.024982,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.408338,    0.024961,    0.382646,    0.000093,    0.025577,    0.024797,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.411006,    0.024803,    0.385217,    0.000090,    0.025735,    0.024659,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.428645,    0.024716,    0.403101,    0.000083,    0.025485,    0.024572,         0,               0,000,000
006,         0,       0,    0.000007,    0.000000,    0.411053,    0.024759,    0.385414,    0.000096,    0.025577,    0.024599,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    6.621267,    0.026507,    6.581076,    0.000252,    0.039936,    0.026114,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.424710,    0.025130,    0.396983,    0.000147,    0.027598,    0.024916,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.395512,    0.025082,    0.369241,    0.000121,    0.026186,    0.024901,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    0.391291,    0.024469,    0.365206,    0.000132,    0.026022,    0.024215,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    0.416319,    0.024443,    0.390511,    0.000119,    0.025745,    0.024248,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    0.395526,    0.024149,    0.369749,    0.000121,    0.025712,    0.023966,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.392558,    0.024285,    0.366900,    0.000106,    0.025588,    0.024108,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.392784,    0.024660,    0.366919,    0.000120,    0.025744,    0.024463,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.405978,    0.026258,    0.378898,    0.000113,    0.026990,    0.026070,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    0.406287,    0.024842,    0.379554,    0.000127,    0.026662,    0.024631,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.406367,    0.025326,    0.379514,    0.000111,    0.026771,    0.025123,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.406430,    0.024892,    0.379961,    0.000092,    0.026399,    0.024659,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.401839,    0.025905,    0.375217,    0.000247,    0.026557,    0.025571,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    3.786286,    0.025306,    3.758504,    0.000142,    0.027715,    0.025095,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.434416,    0.026126,    0.406609,    0.000112,    0.027716,    0.025946,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    0.413047,    0.025226,    0.386180,    0.000125,    0.026744,    0.025028,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    0.407984,    0.025334,    0.381206,    0.000103,    0.026717,    0.025169,         0,               0,000,000
007,         0,       0,    0.000007,    0.000000,    0.411122,    0.026515,    0.383713,    0.000121,    0.027348,    0.026318,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.426458,    0.024827,    0.399433,    0.000119,    0.026965,    0.024634,         0,               0,000,000
007,         0,       0,    0.000010,    0.000000,    0.410900,    0.025306,    0.383958,    0.000098,    0.026880,    0.025079,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.503047,    0.029209,    0.462145,    0.000299,    0.040659,    0.028805,         0,               0,000,000
008,         0,       0,    0.000007,    0.000000,    0.634725,    0.028529,    0.603749,    0.000259,    0.030870,    0.028186,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.449482,    0.027399,    0.398824,    0.000194,    0.050553,    0.027115,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.442919,    0.027939,    0.415010,    0.000184,    0.027812,    0.027687,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.423544,    0.027717,    0.395270,    0.000182,    0.028178,    0.027464,         0,               0,000,000
008,         0,       0,    0.000007,    0.000000,    0.420470,    0.027540,    0.392513,    0.000175,    0.027855,    0.027297,         0,               0,000,000
008,         0,       0,    0.000007,    0.000000,    0.418650,    0.027638,    0.390763,    0.000192,    0.027775,    0.027375,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.425843,    0.027130,    0.397281,    0.000212,    0.028462,    0.026842,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.420706,    0.027421,    0.392791,    0.000196,    0.027819,    0.027159,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.537956,    0.044240,    0.497075,    0.000196,    0.040782,    0.043980,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.416526,    0.028011,    0.388695,    0.000191,    0.027735,    0.027730,         0,               0,000,000
008,         0,       0,    0.000007,    0.000000,    0.417610,    0.027434,    0.389937,    0.000197,    0.027574,    0.027167,         0,               0,000,000
008,         0,       0,    0.000007,    0.000000,    0.438271,    0.027158,    0.410777,    0.000174,    0.027398,    0.026914,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    5.827433,    0.027697,    5.797484,    0.000242,    0.029836,    0.027392,         0,               0,000,000
008,         0,       0,    0.000007,    0.000000,    0.415960,    0.027467,    0.388236,    0.000188,    0.027594,    0.027215,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.424035,    0.027380,    0.395083,    0.000215,    0.028845,    0.027088,         0,               0,000,000
008,         0,       0,    0.000007,    0.000000,    0.414972,    0.026678,    0.387535,    0.000192,    0.027337,    0.026419,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.415048,    0.027003,    0.387484,    0.000174,    0.027468,    0.026761,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.413796,    0.026833,    0.386631,    0.000178,    0.027069,    0.026565,         0,               0,000,000
008,         0,       0,    0.000010,    0.000000,    0.420901,    0.026871,    0.393015,    0.000180,    0.027787,    0.026624,         0,               0,000,000
009,         0,       0,    0.000010,    0.000000,    0.431862,    0.030066,    0.389040,    0.000233,    0.042658,    0.029754,         0,               0,000,000
009,         0,       0,    0.000010,    0.000000,    0.644038,    0.029763,    0.614034,    0.000133,    0.029927,    0.029535,         0,               0,000,000
009,         0,       0,    0.000010,    0.000000,    0.430447,    0.027876,    0.401165,    0.000093,    0.029220,    0.027730,         0,               0,000,000
