tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
000,00000000,01539585,00008391,010,00755203,00019396,00015176,001024,000,000,00001024,00774596,01,0000016577791050,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01547725,00006436,010,00757115,00019775,00015477,001024,000,000,00001024,00776885,01,0000016739922119,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01548769,00007100,010,00757698,00019653,00015448,001024,000,000,00001024,00777343,01,0000015915539587,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01547109,00008488,010,00757315,00019771,00015382,001024,000,000,00001024,00777078,01,0000016612515695,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01543482,00032039,010,00755591,00019352,00015203,001024,000,000,00001024,00774940,01,0000016741014714,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01541022,00011418,010,00754109,00019628,00015349,001024,000,000,00001024,00773732,01,0000016469800952,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01536925,00009712,010,00751810,00019467,00015224,001024,000,000,00001024,00771271,01,0000015772785028,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01537370,00008480,010,00753085,00019588,00015286,001024,000,000,00001024,00772671,01,0000016072726152,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01548166,00008514,010,00758453,00019764,00015375,001024,000,000,00001024,00778216,01,0000016621721327,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01545161,00010217,010,00755621,00019914,00015528,001024,000,000,00001024,00775530,01,0000017252824208,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01548060,00026003,010,00758095,00019269,00015069,001024,000,000,00001024,00777359,01,0000016803281737,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01550522,00009772,010,00759631,00019741,00015378,001024,000,000,00001024,00779367,01,0000015986208004,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01551698,00010181,010,00759146,00019704,00015384,001024,000,000,00001024,00778844,01,0000016237143977,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01550605,00010679,010,00760411,00019612,00015282,001024,000,000,00001024,00780020,01,0000016310144324,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01461813,00009848,010,00714831,00018735,00014653,001024,000,000,00001024,00733564,01,0000004024112739,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01573570,00009409,010,00770831,00020010,00015655,001024,000,000,00001024,00790839,01,0000015632654026,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01543618,00008889,010,00754711,00020005,00015542,001024,000,001,00001024,00774709,01,0000017479088399,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01547305,00006207,010,00757778,00020124,00015555,001024,000,001,00001024,00777900,01,0000017250211400,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01531076,00007218,010,00749034,00019727,00015324,001024,000,001,00001024,00768756,01,0000017407624236,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01547731,00008252,010,00756788,00020003,00015553,001024,000,001,00001024,00776786,01,0000017263995867,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01540688,00031599,010,00753791,00019776,00015375,001024,000,001,00001024,00773562,01,0000017435717949,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01545598,00010964,010,00756738,00019952,00015578,001024,000,001,00001024,00776684,01,0000017314011825,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01543931,00011224,010,00755435,00019763,00015344,001024,000,001,00001024,00775195,01,0000017421109670,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01549523,00012764,010,00757818,00019854,00015452,001024,000,001,00001024,00777670,01,0000017223561600,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01545182,00008705,010,00756147,00019611,00015390,001024,000,001,00001024,00775754,01,0000017370772731,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01544106,00007650,010,00755083,00020118,00015527,001024,000,001,00001024,00775201,01,0000017384564023,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01547920,00028834,010,00757870,00019920,00015503,001024,000,001,00001024,00777788,01,0000017205368943,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01455627,00008411,010,00712976,00018754,00014530,001024,000,001,00001024,00731729,01,0000004034776468,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01547317,00008862,010,00758239,00020180,00015678,001024,000,001,00001024,00778414,01,0000017610048522,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01539546,00010580,010,00753231,00020166,00015632,001024,000,001,00001024,00773391,01,0000016787073422,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01549442,00009201,010,00758769,00020017,00015575,001024,000,001,00001024,00778782,01,0000017451460475,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01576712,00014534,010,00770932,00020447,00015890,001024,000,001,00001024,00791375,01,0000017007994182,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01526514,00108104,010,00715797,00052450,00015417,001024,000,000,00000128,00768215,01,0000017016963685,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01531797,00085882,010,00716354,00052494,00015749,001024,000,000,00000128,00768826,01,0000016709840276,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01530577,00069375,010,00717233,00052073,00015560,001024,000,000,00000128,00769287,01,0000017071105032,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01530637,00090491,010,00716991,00052145,00015618,001024,000,000,00000128,00769085,01,0000017084685555,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01529925,00094202,010,00716682,00052086,00015408,001024,000,000,00000128,00768731,01,0000017093013002,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01528687,00082394,010,00716015,00052330,00015463,001024,000,000,00000128,00768301,01,0000016727003758,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01525718,00077811,010,00714069,00051793,00015447,001024,000,000,00000128,00765818,01,0000016517607847,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01525221,00121914,010,00714187,00051938,00015474,001024,000,000,00000128,00766083,01,0000017344222721,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01527631,00075367,010,00714504,00052405,00015700,001024,000,000,00000128,00766865,01,0000016495168805,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01521527,00068024,010,00712268,00051780,00015308,001024,000,000,00000128,00764018,01,0000017201811275,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01521412,00085944,010,00712724,00052098,00015467,001024,000,000,00000128,00764784,01,0000017192489109,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01527772,00083305,010,00714510,00052718,00015786,001024,000,000,00000128,00767185,01,0000017101457552,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01527281,00075873,010,00714297,00052393,00015505,001024,000,000,00000128,00766643,01,0000017173793068,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01513561,00109240,010,00708340,00051836,00015529,001024,000,000,00000128,00760138,01,0000017506994672,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01523233,00081687,010,00713447,00052061,00015624,001024,000,000,00000128,00765470,01,0000017142985373,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01467311,00088764,010,00686619,00049868,00014881,001024,000,000,00000128,00736459,01,0000003927687903,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01526147,00081793,010,00713679,00052439,00015389,001024,000,001,00000128,00766082,01,0000015934768881,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01531531,00073072,010,00717732,00052658,00015608,001024,000,001,00000128,00770358,01,0000016469508532,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01523314,00139311,010,00712243,00052322,00015338,001024,000,001,00000128,00764530,01,0000016553576382,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01529768,00076006,010,00714673,00053207,00015727,001024,000,001,00000128,00767833,01,0000016485329455,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01530418,00092396,010,00715774,00052090,00015289,001024,000,001,00000128,00767828,01,0000017089634342,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01529783,00073409,010,00715267,00052777,00015531,001024,000,001,00000128,00768005,01,0000017100251903,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01516451,00075128,010,00709216,00051907,00015272,001024,000,001,00000128,00761101,01,0000017115746211,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01528281,00099588,010,00715169,00052483,00015531,001024,000,001,00000128,00767609,01,0000016432418500,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01523997,00076902,010,00712722,00052519,00015630,001024,000,001,00000128,00765210,01,0000016508231515,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01525230,00087291,010,00713609,00052505,00015448,001024,000,001,00000128,00766077,01,0000015847343654,00000000,00000000,001,001,016,016,1,0.99,050
