tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
000,00000000,01361080,00007181,010,00663233,00019856,00000000,001024,000,000,00001024,00683089,01,0000016812802983,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01362294,00006813,010,00664542,00019811,00000000,001024,000,000,00001024,00684353,01,0000016615079342,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01356601,00008505,010,00661865,00019673,00000000,001024,000,000,00001024,00681537,01,0000016258296631,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01359511,00007982,010,00663469,00019636,00000000,001024,000,000,00001024,00683105,01,0000016789259106,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01361906,00027173,010,00664298,00019845,00000000,001024,000,000,00001024,00684142,01,0000016073735731,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01361929,00009715,010,00665187,00019652,00000000,001024,000,000,00001024,00684839,01,0000016640298360,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01359202,00007931,010,00663339,00019647,00000000,001024,000,000,00001024,00682986,01,0000016766942662,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01356743,00013392,010,00661604,00019764,00000000,001024,000,000,00001024,00681367,01,0000015924640179,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01356839,00009647,010,00662151,00019305,00000000,001024,000,000,00001024,00681456,01,0000017050029751,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01348839,00005573,010,00658141,00019446,00000000,001024,000,000,00001024,00677587,01,0000017187934720,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01357127,00022429,010,00661976,00019670,00000000,001024,000,000,00001024,00681644,01,0000017076195013,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01355061,00009183,010,00661010,00019774,00000000,001024,000,000,00001024,00680783,01,0000016068118531,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01354527,00008865,010,00659936,00019552,00000000,001024,000,000,00001024,00679488,01,0000016546576571,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01353631,00010905,010,00661223,00019315,00000000,001024,000,000,00001024,00680538,01,0000016685533788,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01355394,00008557,010,00660361,00019529,00000000,001024,000,000,00001024,00679889,01,0000016830853266,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01292393,00008077,010,00629968,00019071,00000000,001024,000,000,00001024,00649039,01,0000004084256966,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01349882,00007694,010,00658785,00018951,00000000,001024,000,001,00001024,00677735,01,0000016182116432,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01354344,00007095,010,00661148,00018836,00000000,001024,000,001,00001024,00679983,01,0000016836872987,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01349337,00006293,010,00659352,00018838,00000000,001024,000,001,00001024,00678190,01,0000016246620609,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01337262,00006726,010,00653077,00019093,00000000,001024,000,001,00001024,00672170,01,0000016516539295,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01341011,00026782,010,00655226,00019017,00000000,001024,000,001,00001024,00674242,01,0000016231438893,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01353105,00008102,010,00659987,00018659,00000000,001024,000,001,00001024,00678645,01,0000016742168691,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01354076,00009564,010,00660370,00018884,00000000,001024,000,001,00001024,00679254,01,0000016670686591,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01337965,00009714,010,00653784,00018584,00000000,001024,000,001,00001024,00672368,01,0000016533700560,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01353347,00006979,010,00661364,00019111,00000000,001024,000,001,00001024,00680475,01,0000016944350199,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01354330,00045805,010,00661161,00019301,00000000,001024,000,001,00001024,00680462,01,0000016641331819,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01355872,00027097,010,00662475,00019074,00000000,001024,000,001,00001024,00681549,01,0000017002475748,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01355276,00007301,010,00662154,00019117,00000000,001024,000,001,00001024,00681271,01,0000016609750582,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01352985,00007318,010,00661419,00018734,00000000,001024,000,001,00001024,00680153,01,0000016772292347,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01347505,00010452,010,00658354,00018918,00000000,001024,000,001,00001024,00677272,01,0000016169841282,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01285695,00009162,010,00628077,00018018,00000000,001024,000,001,00001024,00646094,01,0000004131399664,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01357606,00006382,010,00663666,00018909,00000000,001024,000,001,00001024,00682575,01,0000016740099225,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01335048,00062509,010,00624575,00045833,00000000,001024,000,000,00000128,00670400,01,0000016055690263,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01337120,00616069,010,00625131,00046496,00000000,001024,000,000,00000128,00671625,01,0000016650954072,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01335709,00059423,010,00624397,00046500,00000000,001024,000,000,00000128,00670894,01,0000016567789624,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01335282,00070690,010,00624520,00046203,00000000,001024,000,000,00000128,00670721,01,0000016610610128,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01330384,00089177,010,00622168,00046027,00000000,001024,000,000,00000128,00668189,01,0000016644870435,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01333812,00074731,010,00623642,00046277,00000000,001024,000,000,00000128,00669918,01,0000016637138419,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01331350,00142560,010,00622768,00045858,00000000,001024,000,000,00000128,00668618,01,0000016905169790,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01321493,00080155,010,00618082,00045569,00000000,001024,000,000,00000128,00663645,01,0000016688753975,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01327693,00119962,010,00621109,00045887,00000000,001024,000,000,00000128,00666995,01,0000016738096654,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01329856,00050645,010,00622197,00046198,00000000,001024,000,000,00000128,00668394,01,0000016619352955,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01325011,00119852,010,00619402,00045943,00000000,001024,000,000,00000128,00665345,01,0000016922963474,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01328883,00079306,010,00621547,00046132,00000000,001024,000,000,00000128,00667679,01,0000016871312093,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01266019,00075749,010,00591606,00044346,00000000,001024,000,000,00000128,00635946,01,0000004003722085,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01323453,00054327,010,00619165,00045786,00000000,001024,000,000,00000128,00664948,01,0000016730593728,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01320875,00060949,010,00617407,00045997,00000000,001024,000,000,00000128,00663399,01,0000016353104592,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01329439,00075845,010,00621240,00046385,00000000,001024,000,000,00000128,00667622,01,0000016443316322,00000000,00000000,001,001,016,016,1,0.99,050
