tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
000,00000000,01321955,00008108,010,00664786,00000000,00000000,001024,000,000,00001024,00664781,01,0000016356730504,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01323602,00005447,010,00666127,00000000,00000000,001024,000,000,00001024,00666124,01,0000016433208284,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01327299,00024572,010,00666322,00000000,00000000,001024,000,000,00001024,00666318,01,0000015825976779,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01326153,00006109,010,00665957,00000000,00000000,001024,000,000,00001024,00665951,01,0000016054795693,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01323874,00026167,010,00665408,00000000,00000000,001024,000,000,00001024,00665398,01,0000016458407050,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01323116,00007840,010,00664936,00000000,00000000,001024,000,000,00001024,00664934,01,0000015948078916,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01322938,00009077,010,00664930,00000000,00000000,001024,000,000,00001024,00664923,01,0000016326200298,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01312336,00006752,010,00659095,00000000,00000000,001024,000,000,00001024,00659090,01,0000015965823136,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01320175,00007633,010,00663146,00000000,00000000,001024,000,000,00001024,00663140,01,0000016656177449,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01319558,00006100,010,00662748,00000000,00000000,001024,000,000,00001024,00662747,01,0000016284341712,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01319096,00023744,010,00662263,00000000,00000000,001024,000,000,00001024,00662258,01,0000016539176483,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01319384,00007701,010,00662732,00000000,00000000,001024,000,000,00001024,00662722,01,0000015837996651,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01320624,00007447,010,00662946,00000000,00000000,001024,000,000,00001024,00662942,01,0000016659589428,00000000,00000000,001,001,016,016,1,0.99,050
