tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
012,00000000,01346501,00061423,010,00632930,00044125,00013408,001024,000,000,00000128,00677053,01,0000014933875944,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01347299,00101423,010,00631544,00043827,00013422,001024,000,000,00000128,00675367,01,0000015804479001,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01346122,00057588,010,00631629,00043790,00013294,001024,000,000,00000128,00675418,01,0000015630225075,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01295511,00074769,010,00607720,00042339,00012847,001024,000,000,00000128,00650055,01,0000004058146127,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01346108,00094865,010,00631106,00044645,00013548,001024,000,001,00000128,00675747,01,0000015337235598,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01338057,00063374,010,00627289,00044527,00013271,001024,000,001,00000128,00671809,01,0000014264330920,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01349870,00060160,010,00633320,00044801,00013506,001024,000,001,00000128,00678116,01,0000015174334952,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01348253,00104845,010,00632535,00044797,00013566,001024,000,001,00000128,00677329,01,0000015299724877,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01348741,00084889,010,00632641,00044792,00013393,001024,000,001,00000128,00677427,01,0000015275580070,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01345754,00065146,010,00631860,00044702,00013330,001024,000,001,00000128,00676557,01,0000014641656040,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01343497,00078541,010,00631426,00044109,00013228,001024,000,001,00000128,00675533,01,0000015492191816,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01335333,00086300,010,00627198,00044453,00013441,001024,000,001,00000128,00671647,01,0000015354532853,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01341182,00069702,010,00628440,00044660,00013504,001024,000,001,00000128,00673093,01,0000014868563438,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01346756,00056968,010,00631556,00044591,00013541,001024,000,001,00000128,00676142,01,0000015416697863,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01336229,00082165,010,00626542,00044425,00013489,001024,000,001,00000128,00670966,01,0000014968005961,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01347262,00088417,010,00633346,00044829,00013598,001024,000,001,00000128,00678172,01,0000015471272237,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01343918,00061296,010,00630336,00044217,00013292,001024,000,001,00000128,00674551,01,0000015084850725,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01345255,00059156,010,00631269,00044851,00013488,001024,000,001,00000128,00676116,01,0000015514454827,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01339207,00058048,010,00629370,00044794,00013568,001024,000,001,00000128,00674159,01,0000015357557187,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,01293333,00132651,010,00608287,00042905,00012866,001024,000,001,00000128,00651188,01,0000003835478732,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01020704,01000534,010,00173368,00338843,00009403,001024,000,000,00000008,00512202,01,0000010330882582,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01020712,00877572,010,00172725,00340487,00009371,001024,000,000,00000008,00513196,01,0000010373341538,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01022191,00855532,010,00173087,00340229,00009323,001024,000,000,00000008,00513306,01,0000010247746959,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01019411,00983773,010,00172317,00340471,00009369,001024,000,000,00000008,00512781,01,0000010390484681,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01020357,01006809,010,00173000,00340216,00009368,001024,000,000,00000008,00513201,01,0000010265387538,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01020514,01088079,010,00172715,00339673,00009220,001024,000,000,00000008,00512377,01,0000010185827789,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01019860,01313225,010,00172591,00339792,00009434,001024,000,000,00000008,00512362,01,0000010262589333,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01021583,01076100,010,00173209,00340296,00009271,001024,000,000,00000008,00513495,01,0000010266633951,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01025123,00000000,010,00174408,00340887,00009474,001024,000,000,00000008,00515285,01,0000010186278482,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01019428,00000000,010,00172872,00338402,00009187,001024,000,000,00000008,00511262,01,0000010354108375,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01023481,00000000,010,00173870,00340792,00009307,001024,000,000,00000008,00514647,01,0000010356753033,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01024663,00000000,010,00173722,00340327,00009467,001024,000,000,00000008,00514029,01,0000010395564663,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01025056,00000000,010,00173651,00341663,00009228,001024,000,000,00000008,00515304,01,0000010213308155,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01024918,00000000,010,00173957,00341317,00009316,001024,000,000,00000008,00515264,01,0000010165173713,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01024032,00000000,010,00174197,00340708,00009420,001024,000,000,00000008,00514889,01,0000010205937106,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,00992408,00000000,010,00168116,00329915,00009025,001024,000,000,00000008,00498024,01,0000002572994841,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,01019419,00985197,010,00174233,00337644,00009330,001024,000,001,00000008,00511868,01,0000010098213531,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01018588,00904812,010,00174263,00338658,00009097,001024,000,001,00000008,00512909,01,0000010185082326,00000000,00000000,001,001,016,016,1,0.99,050
