tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
000,00000000,01443959,00008256,010,00725475,00000000,00000000,001024,000,000,00001024,00725441,01,0000015961116540,00000000,00000000,001,001,016,016,1,0.99,050
001,00000000,01448132,00006578,010,00727221,00000000,00000000,001024,000,000,00001024,00727190,01,0000016129884750,00000000,00000000,001,001,016,016,1,0.99,050
002,00000000,01441960,00014939,010,00724405,00000000,00000000,001024,000,000,00001024,00724363,01,0000016070572466,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01447673,00007187,010,00727109,00000000,00000000,001024,000,000,00001024,00727072,01,0000016189313898,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01445542,00029795,010,00727168,00000000,00000000,001024,000,000,00001024,00727131,01,0000016070315719,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01445273,00006973,010,00725385,00000000,00000000,001024,000,000,00001024,00725350,01,0000015886990673,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01441116,00009640,010,00724572,00000000,00000000,001024,000,000,00001024,00724537,01,0000016392309394,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01439763,00006093,010,00723402,00000000,00000000,001024,000,000,00001024,00723366,01,0000015450676217,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01435672,00007834,010,00721920,00000000,00000000,001024,000,000,00001024,00721887,01,0000016161198368,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01440799,00007069,010,00723222,00000000,00000000,001024,000,000,00001024,00723189,01,0000016127001750,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01443447,00024671,010,00725824,00000000,00000000,001024,000,000,00001024,00725793,01,0000016115874218,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01444852,00009086,010,00726601,00000000,00000000,001024,000,000,00001024,00726548,01,0000016184907221,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01444439,00008269,010,00725331,00000000,00000000,001024,000,000,00001024,00725300,01,0000015404600804,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01445092,00009625,010,00726054,00000000,00000000,001024,000,000,00001024,00726022,01,0000016105619383,00000000,00000000,001,001,016,016,1,0.99,050
