tid,loop_in_cs,lock_acquires,lock_hold(ms)
RUN 0
000,    376399,  376399,   78.217743
001,    212490,  212490,   40.435322
002,    360085,  360085,   62.725185
003,    210353,  210353,   38.058369
004,    543124,  543124,   92.108444
005,    270190,  270190,   45.566010
006,    165918,  165918,   33.101803
007,    403007,  403007,   71.796303
008,    386136,  386136,   72.232803
009,    298779,  298779,   55.665977
010,    376001,  376001,   67.128052
011,    317040,  317040,   55.543625
012,    142569,  142569,   24.919685
013,    305594,  305594,   57.334167
014,    324607,  324607,   59.092659
015,    540528,  540528,   92.445389
016,    125717,  125717,   26.196854
017,    266229,  266229,   40.214661
018,    230891,  230891,   41.100365
019,    693494,  693494,  124.248970
020,    203627,  203627,   40.759121
021,    584330,  584330,  109.638237
022,    325838,  325838,   61.903454
023,    315553,  315553,   60.625732
024,    643531,  643531,  107.936096
025,    496826,  496826,   88.223320
026,    848997,  848997,  152.688309
027,    261242,  261242,   48.977032
028,    102150,  102150,   18.666309
-------------------------------------------------------------------------------------------------------

RUN 1
000,     41354,   41354,    9.120642
001,    228142,  228142,   44.061844
002,    183245,  183245,   33.209213
003,    628774,  628774,  104.587563
004,    328958,  328958,   66.250023
005,    456761,  456761,   69.393669
006,    308967,  308967,   60.228046
007,    123289,  123289,   23.175400
008,    450602,  450602,   88.756866
009,    306420,  306420,   53.660431
010,    183778,  183778,   35.680073
011,    212675,  212675,   34.743420
012,     98731,   98731,   18.506439
013,    623008,  623008,   99.033867
014,    317318,  317318,   63.280495
015,    305944,  305944,   49.615601
016,    495776,  495776,   81.155281
017,    423027,  423027,   74.081184
018,    250994,  250994,   50.821808
019,    285049,  285049,   48.934860
020,     93264,   93264,   21.695669
021,    182057,  182057,   34.423080
022,    176028,  176028,   37.197346
023,    413655,  413655,   76.224113
024,    468549,  468549,   78.841827
025,    258127,  258127,   47.594261
026,    202194,  202194,   39.755260
027,    476713,  476713,   96.652138
028,    409369,  409369,   63.882233
-------------------------------------------------------------------------------------------------------

RUN 2
000,    229681,  229681,   46.193306
001,    202069,  202069,   40.408875
002,    283501,  283501,   51.445251
003,    723472,  723472,  117.335159
004,    346280,  346280,   69.332664
005,    330042,  330042,   54.347275
006,    295598,  295598,   55.289852
007,    557556,  557556,   94.434891
008,    444871,  444871,   84.570770
009,    177327,  177327,   32.081455
010,    227705,  227705,   44.041660
011,    352938,  352938,   61.720085
012,    285262,  285262,   56.797466
013,    421116,  421116,   73.015800
014,    227929,  227929,   39.700100
015,    424021,  424021,   73.706444
016,    207561,  207561,   36.569164
017,    381255,  381255,   62.647308
018,    459887,  459887,   90.176430
019,    201159,  201159,   38.424160
020,    137750,  137750,   25.420317
021,    804798,  804798,  130.367249
022,    171684,  171684,   32.756443
023,    417098,  417098,   71.348724
024,    250908,  250908,   44.532265
025,    169545,  169545,   35.278015
026,    294415,  294415,   62.137234
027,    702249,  702249,  118.740639
028,    508126,  508126,   98.843361
-------------------------------------------------------------------------------------------------------

RUN 3
000,    219938,  219938,   38.678093
001,    573692,  573692,  102.968636
002,    537852,  537852,   96.053246
003,    435000,  435000,   76.631538
004,    138021,  138021,   31.093334
005,    368520,  368520,   65.750275
006,    327882,  327882,   60.352634
007,    422828,  422828,   67.416786
008,    145856,  145856,   28.245674
009,    373525,  373525,   60.221992
010,    276318,  276318,   52.443516
011,    261780,  261780,   47.742458
012,    427709,  427709,   76.597214
013,    586873,  586873,  110.808830
014,    175306,  175306,   35.854179
015,    653858,  653858,  107.110115
016,    155238,  155238,   33.036331
017,     78760,   78760,   15.061827
018,    280837,  280837,   59.299213
019,    472006,  472006,   86.850357
020,    190384,  190384,   36.924362
021,    171801,  171801,   30.661600
022,    585115,  585115,  118.788490
023,    216851,  216851,   38.383556
024,    176268,  176268,   31.355814
025,    317231,  317231,   58.058498
026,    143160,  143160,   29.067936
027,    263238,  263238,   49.721973
028,    175770,  175770,   32.653320
-------------------------------------------------------------------------------------------------------

RUN 4
000,    296843,  296843,   58.226158
001,    184631,  184631,   31.045050
002,    379681,  379681,   76.666191
003,    166940,  166940,   28.498354
004,    428217,  428217,   85.713890
005,    483135,  483135,   76.134613
006,    132574,  132574,   25.576887
007,    439500,  439500,   79.124832
008,    144897,  144897,   27.657227
009,    450784,  450784,   77.711823
010,    283108,  283108,   57.118801
011,    166146,  166146,   27.423563
012,    316238,  316238,   64.281456
013,    186570,  186570,   32.424046
014,    144341,  144341,   24.897346
015,    527874,  527874,   89.811859
016,    273609,  273609,   57.004635
017,    385672,  385672,   67.163383
018,    163474,  163474,   32.791359
019,    606473,  606473,  108.041237
020,    209719,  209719,   38.753368
021,    396682,  396682,   61.648647
022,    192708,  192708,   30.365620
023,    435214,  435214,   69.660950
024,    275958,  275958,   53.543499
025,    515753,  515753,   89.201736
026,    289252,  289252,   48.809502
027,    407565,  407565,   73.535988
028,    275004,  275004,   56.608086
-------------------------------------------------------------------------------------------------------

