lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0046378,0000150,0000040,0001043,0040516,0046007,0039895,0000000,001024,000,000,0512
0083377,0001200,0000200,0001294,0081804,0082976,0081252,0000000,001024,000,000,0512
0041368,0000141,0000030,0001039,0018294,0040997,0031209,0000000,001024,001,000,0512
0068649,0001186,0000161,0001290,0052158,0068219,0052569,0000000,001024,001,000,0512
0037761,0000140,0000030,0001030,0008927,0036970,0006081,0000000,001024,002,000,0512
0061015,0001157,0000321,0001314,0044393,0060093,0041939,0000000,001024,002,000,0512
0038352,0000160,0000040,0001036,0014627,0037891,0011101,0000000,001024,003,000,0512
0062627,0001174,0000181,0001287,0045315,0062097,0046898,0000000,001024,003,000,0512
