lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR
0047129,0000150,0000040,0001043,0040977,0046758,0040356,0000000,001024,000,000,0512
0084319,0001205,0000180,0001304,0083106,0083908,0082585,0000000,001024,000,000,0512
0041528,0000141,0000030,0001039,0019377,0041158,0031479,0000000,001024,001,000,0512
0069842,0001190,0000161,0001297,0052910,0069451,0053170,0000000,001024,001,000,0512
0038282,0000140,0000030,0001031,0011331,0037480,0006262,0000000,001024,002,000,0512
0063360,0001168,0000311,0001315,0045316,0062488,0043101,0000000,001024,002,000,0512
0038663,0000160,0000040,0001037,0015219,0038192,0012042,0000000,001024,003,000,0512
0064802,0001178,0000180,0001294,0046327,0064300,0047719,0000000,001024,003,000,0512
